"id","age","gender","num_answers","in_person","typeOfQuestion","first_color","second_color","third_color","clicks","page_time","rating","resets","id_question"
"5740a8b59d448","31","Female",32,"yes","objTwoColors","#CEFF00","hsl(151.95652173913044,1,0.50)","hsl(56.73913043478261,1,0.50)",912,72,2,0,1
"5711106ab212a","33","Male",32,"no","objTwoColors","#FFFF00","hsl(43.04347826086956,1,0.50)","NONE",29,14,5,0,1
"573a059da0efd","31","Female",32,"yes","objTwoColors","#CEFF00","hsl(198.91304347826087,1,0.50)","hsl(48.91304347826087,1,0.50)",84,13,5,0,1
"5711148c11035","35","Male",22,"no","objTwoColors","#FFFF00","hsl(3.405642302139946,1,0.50)","NONE",512,91,3,0,1
"5740b686127bb","32","Male",32,"yes","objTwoColors","#CEFF00","hsl(50.869565217391305,1,0.50)","hsl(64.8913043478261,1,0.50)",829,101,2,0,1
"57190633f233f","30","Male",32,"no","objTwoColors","#FFFF00","hsl(7.826086956521739,1,0.50)","hsl(221.41304347826087,1,0.50)",276,44,3,0,1
"571252e6d2e70","31","Female",32,"no","objTwoColors","#FFFF00","hsl(41.73913043478261,1,0.50)","NONE",137,27,5,0,1
"571153ca15566","32","Male",32,"no","objTwoColors","#FFFF00","hsl(51.09375,1,0.50)","NONE",1184,130,1,0,1
"574859b8f3379","30","Male",32,"yes","objTwoColors","#CEFF00","hsl(1.3043478260869565,1,0.50)","hsl(123.58695652173913,1,0.50)",245,26,4,0,1
"5710d28fec2d1","30","Male",32,"no","objTwoColors","#FFFF00","NONE","hsl(209.67391304347825,1,0.50)",336,22,1,0,1
"573c783748e8b","37","Female",32,"yes","objTwoColors","#CEFF00","hsl(54.78260869565217,1,0.50)","hsl(56.73913043478261,1,0.50)",77,18,3,0,1
"5745b5cbe3caa","34","Female",32,"no","objTwoColors","#FFFF00","hsl(56.08695652173913,1,0.50)","hsl(56.73913043478261,1,0.50)",438,34,3,0,1
"573c783748e8b","37","Female",32,"yes","objTwoColors","#FF00FF","hsl(271.30434782608694,1,0.50)","NONE",613,50,3,0,2
"571252e6d2e70","31","Female",32,"no","objTwoColors","#FF00FF","hsl(288.2608695652174,1,0.50)","NONE",257,34,4,0,2
"57153eb9b4bed","35","Female",31,"no","objTwoColors","#FF00FF","NONE","hsl(359.34782608695656,1,0.50)",116,6,5,0,2
"5711148c11035","35","Male",22,"no","objTwoColors","#FF00FF","hsl(300,1,0.50)","NONE",10,10,3,0,2
"573a059da0efd","31","Female",32,"yes","objTwoColors","#FF00FF","NONE","NONE",0,15,1,0,2
"5740b686127bb","32","Male",32,"yes","objTwoColors","#FF00FF","hsl(320.8695652173913,1,0.50)","hsl(203.80434782608697,1,0.50)",264,29,3,0,2
"5710d28fec2d1","30","Male",32,"no","objTwoColors","#FF00FF","NONE","hsl(300,1,0.50)",259,17,1,0,2
"571153ca15566","32","Male",32,"no","objTwoColors","#FF00FF","hsl(179.68410326086956,1,0.50)","hsl(321.3179347826087,1,0.50)",125,20,3,0,2
"574859b8f3379","30","Male",32,"yes","objTwoColors","#FF00FF","hsl(280.4347826086956,1,0.50)","hsl(331.95652173913044,1,0.50)",1022,85,3,0,2
"5711106ab212a","33","Male",32,"no","objTwoColors","#FF00FF","hsl(2.608695652173913,1,0.50)","hsl(184.23913043478262,1,0.50)",56,5,4,0,2
"5745b5cbe3caa","34","Female",32,"no","objTwoColors","#FF00FF","hsl(5.217391304347826,1,0.50)","NONE",312,25,3,0,2
"5740a8b59d448","31","Female",32,"yes","objTwoColors","#FF00FF","hsl(285.6521739130435,1,0.50)","NONE",225,21,5,0,2
"57190633f233f","30","Male",32,"no","objTwoColors","#FF00FF","hsl(349.5652173913043,1,0.50)","hsl(192.06521739130434,1,0.50)",432,34,3,0,2
"5710d87585247","31","Male",3,"no","objTwoColors","#80FF00","hsl(250.43478260869566,1,0.50)","hsl(59.347826086956516,1,0.50)",331,37,3,0,3
"57190633f233f","30","Male",32,"no","objTwoColors","#80FF00","hsl(56.08695652173913,1,0.50)","hsl(247.17391304347828,1,0.50)",206,48,4,0,3
"5710d28fec2d1","30","Male",32,"no","objTwoColors","#80FF00","NONE","hsl(102.06521739130434,1,0.50)",95,6,1,0,3
"57153eb9b4bed","35","Female",31,"no","objTwoColors","#80FF00","NONE","hsl(117.71739130434781,1,0.50)",93,4,2,0,3
"573a059da0efd","31","Female",32,"yes","objTwoColors","#00FF00","hsl(195,1,0.50)","hsl(64.8913043478261,1,0.50)",180,23,5,0,3
"573c783748e8b","37","Female",32,"yes","objTwoColors","#00FF00","hsl(99.1304347826087,1,0.50)","hsl(109.8913043478261,1,0.50)",954,119,4,1,3
"571252e6d2e70","31","Female",32,"no","objTwoColors","#80FF00","hsl(54.78260869565217,1,0.50)","hsl(188.1521739130435,1,0.50)",132,16,5,0,3
"5745b5cbe3caa","34","Female",32,"no","objTwoColors","#80FF00","hsl(99.1304347826087,1,0.50)","hsl(48.91304347826087,1,0.50)",574,29,2,0,3
"5711106ab212a","33","Male",32,"no","objTwoColors","#80FF00","hsl(56.08695652173913,1,0.50)","hsl(115.76086956521738,1,0.50)",212,13,3,0,3
"574859b8f3379","30","Male",32,"yes","objTwoColors","#00FF00","hsl(195,1,0.50)","hsl(51.52173913043478,1,0.50)",105,11,4,0,3
"5740a8b59d448","31","Female",32,"yes","objTwoColors","#00FF00","hsl(58.69565217391305,1,0.50)","hsl(186.19565217391306,1,0.50)",100,12,5,0,3
"5740b686127bb","32","Male",32,"yes","objTwoColors","#00FF00","hsl(58.69565217391305,1,0.50)","hsl(147.06521739130434,1,0.50)",180,15,4,0,3
"571153ca15566","32","Male",32,"no","objTwoColors","#80FF00","hsl(242.8328804347826,1,0.50)","hsl(57.839673913043484,1,0.50)",397,136,5,0,3
"5711148c11035","35","Male",22,"no","objTwoColors","#80FF00","hsl(57.391304347826086,1,0.50)","hsl(173.47826086956522,1,0.50)",89,18,3,0,3
"57112e1a2bbbb","32","Male",16,"no","objTwoColors","#80FF00","hsl(59.60218346637228,1,0.50)","hsl(58.57304116953974,1,0.50)",233,29,3,0,3
"573c783748e8b","37","Female",32,"yes","objTwoColors","#B100FF","hsl(350.8695652173913,1,0.50)","hsl(211.6304347826087,1,0.50)",383,53,3,0,4
"574859b8f3379","30","Male",32,"yes","objTwoColors","#B100FF","hsl(302.60869565217394,1,0.50)","hsl(256.304347826087,1,0.50)",755,58,3,0,4
"57190633f233f","30","Male",32,"no","objTwoColors","#7f00ff","hsl(241.30434782608697,1,0.50)","hsl(300,1,0.50)",197,13,2,0,4
"5710d28fec2d1","30","Male",32,"no","objTwoColors","#7f00ff","NONE","hsl(271.95652173913044,1,0.50)",205,13,1,0,4
"571153ca15566","32","Male",32,"no","objTwoColors","#7f00ff","hsl(236.42323369565216,1,0.50)","hsl(300,1,0.50)",267,25,4,0,4
"57112e1a2bbbb","32","Male",16,"no","objTwoColors","#7f00ff","hsl(223.69240802267325,1,0.50)","hsl(225.08152173913044,1,0.50)",128,17,2,0,4
"571252e6d2e70","31","Female",32,"no","objTwoColors","#7f00ff","hsl(228.26086956521738,1,0.50)","hsl(318.9130434782609,1,0.50)",402,46,5,0,4
"5740a8b59d448","31","Female",32,"yes","objTwoColors","#B100FF","hsl(3.9130434782608696,1,0.50)","hsl(213.58695652173913,1,0.50)",115,13,4,0,4
"5740b686127bb","32","Male",32,"yes","objTwoColors","#B100FF","hsl(210.65217391304347,1,0.50)","hsl(328.04347826086956,1,0.50)",172,30,4,0,4
"57153eb9b4bed","35","Female",31,"no","objTwoColors","#7f00ff","NONE","hsl(265.4347826086957,1,0.50)",97,6,5,0,4
"5711106ab212a","33","Male",32,"no","objTwoColors","#7f00ff","hsl(9.130434782608695,1,0.50)","hsl(209.67391304347825,1,0.50)",70,9,4,0,4
"5745b5cbe3caa","34","Female",32,"no","objTwoColors","#7f00ff","hsl(323.47826086956525,1,0.50)","hsl(219.45652173913044,1,0.50)",215,14,3,0,4
"5711148c11035","35","Male",22,"no","objTwoColors","#7f00ff","hsl(306.52173913043475,1,0.50)","hsl(208.69565217391303,1,0.50)",133,24,2,0,4
"573a059da0efd","31","Female",32,"yes","objTwoColors","#B100FF","NONE","NONE",0,3,1,0,4
"5710d28fec2d1","30","Male",32,"no","objTwoColors","#FF0080","NONE","hsl(292.82608695652175,1,0.50)",141,7,1,0,5
"5711148c11035","35","Male",22,"no","objTwoColors","#FF0080","hsl(319.130859375,1,0.50)","hsl(57.391304347826086,1,0.50)",128,24,3,0,5
"57153eb9b4bed","35","Female",31,"no","objTwoColors","#FF0080","NONE","hsl(341.0869565217391,1,0.50)",94,5,5,0,5
"571252e6d2e70","31","Female",32,"no","objTwoColors","#FF0080","hsl(7.826086956521739,1,0.50)","NONE",25,11,5,0,5
"5745b5cbe3caa","34","Female",32,"no","objTwoColors","#FF0080","hsl(212.60869565217394,1,0.50)","hsl(300,1,0.50)",536,33,2,0,5
"573a059da0efd","31","Female",32,"yes","objTwoColors","#FF007A","hsl(7.826086956521739,1,0.50)","NONE",323,51,1,0,5
"57190633f233f","30","Male",32,"no","objTwoColors","#FF0080","hsl(3.9130434782608696,1,0.50)","hsl(178.3695652173913,1,0.50)",110,11,3,0,5
"573607add000c","38","Male",5,"no","objTwoColors","#FF0080","hsl(7.826086956521739,1,0.50)","hsl(308.47826086956525,1,0.50)",309,17,3,0,5
"5740a8b59d448","31","Female",32,"yes","objTwoColors","#FF007A","hsl(6.521739130434782,1,0.50)","NONE",22,40,5,0,5
"571153ca15566","32","Male",32,"no","objTwoColors","#FF0080","hsl(181.640625,1,0.50)","hsl(309.57880434782606,1,0.50)",333,37,2,0,5
"574859b8f3379","30","Male",32,"yes","objTwoColors","#FF007A","hsl(352.17391304347825,1,0.50)","hsl(195.97826086956522,1,0.50)",190,17,3,0,5
"57112e1a2bbbb","32","Male",16,"no","objTwoColors","#FF0080","hsl(15.940445609714674,1,0.50)","hsl(227.03804347826087,1,0.50)",374,47,2,0,5
"5740b686127bb","32","Male",32,"yes","objTwoColors","#FF007A","hsl(333.9130434782609,1,0.50)","hsl(298.04347826086956,1,0.50)",372,55,3,0,5
"573c783748e8b","37","Female",32,"yes","objTwoColors","#FF007A","hsl(350.8695652173913,1,0.50)","hsl(72.71739130434783,1,0.50)",244,20,3,0,5
"5711106ab212a","33","Male",32,"no","objTwoColors","#FF0080","hsl(7.826086956521739,1,0.50)","NONE",509,57,4,5,5
"571153ca15566","32","Male",32,"no","objTwoColors","#FF8000","hsl(58.91983695652174,1,0.50)","hsl(8.274456521739129,1,0.50)",63,16,3,0,6
