"id","age","gender","num_answers","in_person","typeOfQuestion","first_color","second_color","third_color","clicks","page_time","rating","resets","id_question"
"571154184c9bd","47","Female",32,"no","objTwoColors","#FFFF00","hsl(53.05027173913044,1,0.50)","NONE",105,19,5,0,1
"57127bcfaafb0","22","Female",32,"no","objTwoColors","#FFFF00","hsl(56.08695652173913,1,0.50)","hsl(58.04347826086956,1,0.50)",141,7,5,0,1
"5710cd99df604","23","Female",32,"no","objTwoColors","#FFFF00","hsl(59.92174231487772,1,0.50)","NONE",149,8,4,0,1
"5710ee55dcd72","23","Female",6,"no","objTwoColors","#FFFF00","hsl(136.30434782608697,1,0.50)","hsl(5.869565217391305,1,0.50)",214,36,5,0,1
"57116ce8cf9e5","50","Female",7,"no","objTwoColors","#FFFF00","NONE","hsl(52.27828316066576,1,0.50)",213,13,4,0,1
"5756b2d9bd658","23","Female",32,"yes","objTwoColors","#CEFF00","hsl(59.347826086956516,1,0.50)","hsl(95.21739130434783,1,0.50)",228,28,5,0,1
"5739ff85289b2","56","Female",25,"yes","objTwoColors","#CEFF00","hsl(49.56521739130435,1,0.50)","hsl(195.97826086956522,1,0.50)",6,17,2,0,1
"5711800f2c5f3","59","Female",31,"no","objTwoColors","#FFFF00","hsl(46.30434782608695,1,0.50)","hsl(65.86956521739131,1,0.50)",427,97,1,0,1
"571183866d73f","48","Female",32,"no","objTwoColors","#FFFF00","hsl(56.08695652173913,1,0.50)","NONE",83,377,4,0,1
"571289ef76e18","55","Female",31,"no","objTwoColors","#FFFF00","hsl(20.869565217391305,1,0.50)","hsl(358.04347826086956,1,0.50)",102,18,4,0,1
"57112ebc85ba1","18","Female",32,"no","objTwoColors","#FFFF00","hsl(57.391304347826086,1,0.50)","hsl(54.130434782608695,1,0.50)",93,9,1,0,1
"5740e3f36a945","49","Female",32,"yes","objTwoColors","#CEFF00","hsl(75.65217391304348,1,0.50)","NONE",139,26,2,0,1
"57113e6176346","23","Female",30,"no","objTwoColors","#FFFF00","NONE","hsl(56.73913043478261,1,0.50)",439,32,1,0,1
"5712bd55a8a13","27","Female",32,"no","objTwoColors","#FFFF00","NONE","hsl(59.347826086956516,1,0.50)",96,9,5,0,1
