"id","age","gender","num_answers","in_person","typeOfQuestion","first_color","second_color","third_color","clicks","page_time","rating","resets","id_question"
"57113b7f16c4b","22","Male",31,"no","objTwoColors","#FFFF00","hsl(236.08695652173913,1,0.50)","hsl(131.41304347826087,1,0.50)",547,130,3,0,1
"5756ae6897296","21","Male",32,"yes","objTwoColors","#CEFF00","hsl(0.6521739130434783,1,0.50)","hsl(24.782608695652176,1,0.50)",25,8,5,0,1
"571247f66fb51","27","Male",32,"no","objTwoColors","#FFFF00","hsl(6.913027556046195,1,0.50)","hsl(130.04345437754756,1,0.50)",180,13,5,0,1
"57127cb3ab1fe","1","Male",12,"no","objTwoColors","#FFFF00","hsl(60.97826086956521,1,0.50)","NONE",220,21,5,0,1
"573634984323e","19","Male",32,"no","objTwoColors","#FFFF00","hsl(59.40653925356658,1,0.50)","hsl(58.53260869565217,1,0.50)",699,37,5,0,1
"57119224388ef","24","Male",31,"no","objTwoColors","#FFFF00","hsl(206.73913043478262,1,0.50)","hsl(105.97826086956522,1,0.50)",223,12,5,0,1
"5736048bb110b","19","Male",32,"no","objTwoColors","#FFFF00","hsl(59.347826086956516,1,0.50)","hsl(52.17391304347826,1,0.50)",133,6,5,0,1
"571260c120253","22","Male",32,"no","objTwoColors","#FFFF00","hsl(56.08695652173913,1,0.50)","hsl(59.347826086956516,1,0.50)",95,12,1,0,1
"5734aa4c927a8","22","Male",15,"no","objTwoColors","#FFFF00","hsl(56.08695652173913,1,0.50)","hsl(59.347826086956516,1,0.50)",605,56,1,1,1
"574859b8f3379","30","Male",32,"yes","objTwoColors","#CEFF00","hsl(1.3043478260869565,1,0.50)","hsl(123.58695652173913,1,0.50)",245,26,4,0,1
"5734e848ad81a","21","Male",4,"no","objTwoColors","#FFFF00","hsl(57.391304347826086,1,0.50)","hsl(56.73913043478261,1,0.50)",125,16,5,0,1
"5710d140b7c5a","26","Male",32,"no","objTwoColors","#FFFF00","hsl(45.652173913043484,1,0.50)","NONE",102,5,3,0,1
"5711760a3dfe0","21","Male",8,"no","objTwoColors","#FFFF00","hsl(44.347826086956516,1,0.50)","NONE",105,13,5,0,1
"5756ab1701ba0","21","Male",32,"yes","objTwoColors","#CEFF00","hsl(188.1521739130435,1,0.50)","hsl(140.2173913043478,1,0.50)",190,13,5,0,1
"57116b9b879bf","20","Male",32,"no","objTwoColors","#FFFF00","hsl(53.47826086956522,1,0.50)","hsl(17.608695652173914,1,0.50)",138,11,3,0,1
"5713b961c216a","647","Male",11,"no","objTwoColors","#FFFF00","NONE","NONE",0,1,5,0,1
"57111f6c42412","22","Male",34,"no","objTwoColors","#FFFF00","hsl(57.391304347826086,1,0.50)","NONE",343,19,5,0,1
"5735d3455a84c","29","Male",32,"no","objTwoColors","#FFFF00","hsl(52.17391304347826,1,0.50)","hsl(54.130434782608695,1,0.50)",74,8,5,0,1
"57112fc882a10","18","Male",3,"no","objTwoColors","#FFFF00","hsl(40.43478260869565,1,0.50)","NONE",307,32,3,0,1
"57123bec83e8e","21","Male",32,"no","objTwoColors","#FFFF00","hsl(1.3043478260869565,1,0.50)","hsl(25.434782608695652,1,0.50)",712,36,3,0,1
"57122f7e5768f","23","Male",4,"no","objTwoColors","#FFFF00","hsl(60,1,0.50)","NONE",952,61,5,0,1
"57142079d871e","51","Male",8,"no","objTwoColors","#FFFF00","hsl(50.26961616847826,1,0.50)","hsl(128.63481604534647,1,0.50)",340,42,4,1,1
"5711231e370f2","24","Male",32,"yes","objTwoColors","#FFFF00","NONE","hsl(58.04347826086956,1,0.50)",390,41,3,0,1
"57581518c2c07","25","Male",32,"yes","objTwoColors","#FFFF00","hsl(178.3695652173913,1,0.50)","hsl(161.73913043478262,1,0.50)",86,8,2,0,1
"5714c6c26c2f6","21","Male",11,"no","objTwoColors","#FFFF00","hsl(58.04347826086956,1,0.50)","hsl(54.78260869565217,1,0.50)",146,20,5,0,1
"573c70dabcfe0","49","Male",32,"yes","objTwoColors","#CEFF00","hsl(69.78260869565217,1,0.50)","NONE",710,60,2,0,1
"5740b686127bb","32","Male",32,"yes","objTwoColors","#CEFF00","hsl(50.869565217391305,1,0.50)","hsl(64.8913043478261,1,0.50)",829,101,2,0,1
"5710cc5a7829c","27","Male",32,"no","objTwoColors","#FFFF00","hsl(58.69565217391305,1,0.50)","NONE",47,8,5,0,1
"5711106ab212a","33","Male",32,"no","objTwoColors","#FFFF00","hsl(43.04347826086956,1,0.50)","NONE",29,14,5,0,1
"5740b0f8e9734","62","Male",33,"yes","objTwoColors","#CEFF00","hsl(71.73913043478261,1,0.50)","NONE",358,51,5,0,1
"57121e2a63601","21","Male",31,"no","objTwoColors","#FFFF00","hsl(53.47826086956522,1,0.50)","hsl(55.43478260869565,1,0.50)",278,24,5,0,1
"57113a5534205","22","Male",31,"no","objTwoColors","#FFFF00","hsl(50.869565217391305,1,0.50)","hsl(59.347826086956516,1,0.50)",104,15,5,0,1
"573edae85268b","27","Male",32,"yes","objTwoColors","#CEFF00","hsl(58.04347826086956,1,0.50)","hsl(97.17391304347825,1,0.50)",245,18,5,0,1
"574297edae49c","24","Male",32,"no","objTwoColors","#FFFF00","hsl(1.9565217391304348,1,0.50)","hsl(128.47826086956522,1,0.50)",454,28,1,0,1
"573a0b8280839","29","Male",21,"yes","objTwoColors","#CEFF00","NONE","hsl(39.78260869565217,1,0.50)",38,9,3,0,1
"573e4d0eb795b","24","Male",32,"yes","objTwoColors","#CEFF00","hsl(239.02173913043478,1,0.50)","hsl(120.65217391304347,1,0.50)",157,23,4,0,1
"57112cec29456","26","Male",11,"no","objTwoColors","#FFFF00","hsl(112.82608695652175,1,0.50)","hsl(11.086956521739129,1,0.50)",416,62,5,0,1
"57190633f233f","30","Male",32,"no","objTwoColors","#FFFF00","hsl(7.826086956521739,1,0.50)","hsl(221.41304347826087,1,0.50)",276,44,3,0,1
"57121540dbb98","18","Male",7,"no","objTwoColors","#FFFF00","hsl(56.08695652173913,1,0.50)","hsl(56.73913043478261,1,0.50)",1068,62,5,0,1
"5740ad339507d","40","Male",32,"yes","objTwoColors","#CEFF00","hsl(54.78260869565217,1,0.50)","NONE",38,10,3,0,1
"5711148c11035","35","Male",22,"no","objTwoColors","#FFFF00","hsl(3.405642302139946,1,0.50)","NONE",512,91,3,0,1
"572106a31c230","24","Male",16,"no","objTwoColors","#FFFF00","hsl(27.391304347826086,1,0.50)","hsl(95.21739130434783,1,0.50)",377,26,3,0,1
"5738cf3d97a58","23","Male",32,"no","objTwoColors","#FFFF00","hsl(2.608695652173913,1,0.50)","hsl(119.67391304347825,1,0.50)",272,48,4,0,1
"5727633cd6511","25","Male",11,"no","objTwoColors","#FFFF00","NONE","hsl(59.347826086956516,1,0.50)",432,26,5,0,1
"571214121717c","22","Male",32,"no","objTwoColors","#FFFF00","hsl(50.441576086956516,1,0.50)","NONE",59,24,1,0,1
"5757ffca0b4b1","24","Male",32,"yes","objTwoColors","#FFFF00","hsl(56.73913043478261,1,0.50)","NONE",28,19,5,0,1
"57113de4aed1a","21","Male",31,"no","objTwoColors","#FFFF00","hsl(89.34782608695652,1,0.50)","hsl(182.28260869565216,1,0.50)",170,7,4,0,1
"573e47c26cb8e","24","Male",32,"yes","objTwoColors","#CEFF00","hsl(51.52173913043478,1,0.50)","hsl(155.8695652173913,1,0.50)",108,26,2,0,1
"5710cbc5f0ea4","23","Male",32,"no","objTwoColors","#FFFF00","hsl(57.391304347826086,1,0.50)","hsl(58.04347826086956,1,0.50)",406,12,5,0,1
"5711405eb4abb","18","Male",5,"no","objTwoColors","#FFFF00","hsl(53.47826086956522,1,0.50)","NONE",66,15,5,0,1
"5757fd2703090","22","Male",32,"yes","objTwoColors","#FFFF00","hsl(58.04347826086956,1,0.50)","NONE",21,4,5,0,1
"572767049ccfa","24","Male",32,"yes","objTwoColors","#CEFF00","hsl(179.3478260869565,1,0.50)","hsl(58.04347826086956,1,0.50)",124,20,3,0,1
"57366c199283c","19","Male",32,"no","objTwoColors","#FFFF00","hsl(114.78260869565219,1,0.50)","hsl(233.15217391304347,1,0.50)",126,15,5,0,1
"5734918f46823","26","Male",32,"no","objTwoColors","#FFFF00","hsl(0.6521739130434783,1,0.50)","NONE",41,12,3,0,1
