"id","plate_one","plate_two","plate_three","plate_four","plate_five","plate_six"
"571138735adaa",12,1,1,1,1,1
"57113b7f16c4b",12,70,21,99,2,3
"57112cb820ea5",12,29,74,45,16,35
"5711490b2e8f1",12,1,1,1,23,1
"5734867f61fa6",12,29,14,45,23,35
"5710cbc5f0ea4",12,20,21,7,26,3
"5710cbe10cade",12,29,74,45,26,35
"5710cbf204d10",12,29,74,45,26,35
"5710cbf28b1e1",12,29,74,45,26,35
"5710cc2b8a642",12,29,74,45,26,35
"5710cc5a7829c",12,29,74,45,26,35
"5710cd0a515bb",12,29,80,43,26,35
"5710cd289f4c3",12,29,74,45,26,35
"5710cd99df604",12,29,74,45,26,35
"5710cd9d571f2",12,29,74,45,26,35
"5710ce6c1308c",12,29,74,45,26,35
"5710ce96dd6a3",12,29,74,45,26,35
"5710cf445718e",12,29,71,45,26,35
"5710d140b7c5a",12,29,21,46,26,35
"5710d243c9715",12,29,71,45,26,35
"5710d28fec2d1",12,29,74,45,26,35
"5710d71ff24c3",12,18,74,45,26,35
"5710d7b312b93",12,29,74,45,26,35
"5710d87585247",12,29,74,45,26,35
"5710d8ca226a2",12,29,74,45,26,35
"5710d8d6aecd6",12,29,74,45,26,35
"5710d9a94ba8d",12,29,74,45,26,35
"5710d9dcc23f0",12,29,74,45,26,35
"5710dc0f49c60",12,29,74,45,26,35
"5710dc97aac05",12,29,74,45,26,35
"5710e3d7c1247",12,29,74,45,26,35
"5710e47f4b50f",12,29,74,45,26,35
"5710e5bc55564",12,29,74,45,26,35
"5710e60f69205",12,29,74,45,26,35
"5710e80e91119",12,20,21,1,26,35
"5710e9f31cdc4",12,29,74,45,26,35
"5710ea84d4c6f",12,29,74,45,26,35
"5710ead0f1348",12,29,74,45,26,35
"5710eb0f0132e",12,29,74,45,26,35
"5710eda96f483",12,29,74,45,26,35
"5710ee3fd83e6",12,29,74,45,26,35
"5710ee55dcd72",12,29,74,42,26,35
"5710ee9e58646",12,29,74,45,26,35
"5710f9e95c1a5",12,29,74,45,26,35
"57110028bc74b",12,29,74,45,26,35
"57110282c560b",12,29,74,45,26,35
"571103343658b",12,29,74,45,26,35
"57110a0040168",12,29,74,45,26,35
"57110a7adf0e0",12,29,74,45,26,35
"57110d2fab145",12,29,74,45,26,35
"5711106ab212a",12,29,74,45,26,35
"5711148c11035",12,29,74,45,26,35
"5711149df2d2a",12,29,74,45,26,35
"57111b0135816",12,29,74,45,26,35
"57111b2c36e0c",12,29,74,45,26,35
"57111f6c42412",12,29,74,45,26,35
"571123dc69a60",12,29,74,45,26,35
"571124ccba592",12,29,74,45,26,35
"57112779b2f81",12,29,74,45,26,35
"571128aba60e2",12,29,71,45,26,35
"57112a657ac25",12,29,74,45,26,35
"57112b9e10661",12,29,74,45,26,35
"57112cec29456",12,29,74,45,26,35
"57112d320ff16",12,29,71,45,26,35
"57112d4c0a1bc",12,29,74,45,26,35
"57112d73dfafe",12,29,74,45,26,35
"57112d8509632",12,29,74,45,26,35
"57112da7dea62",12,29,74,45,26,35
"57112da850667",12,29,74,45,26,35
"57112de6c5e84",12,29,74,45,26,35
"57112de7f0c00",12,29,74,45,26,35
"57112e1a2bbbb",12,1,1,1,26,35
"57112e43d4668",12,29,74,45,26,35
"57112e639a100",12,29,74,45,26,35
"57112e8f42ab6",12,29,74,45,26,35
"57112ebc85ba1",12,29,74,45,26,35
"57112edad4a17",12,29,74,45,26,35
"57112f2855dfd",12,29,74,45,26,35
"57112f290306a",12,29,74,45,26,35
"57112f57403ee",12,29,71,45,26,35
"57112f7103d57",12,29,74,45,26,35
"5711300507308",12,29,74,45,26,35
"571130c5cd6e9",12,29,74,45,26,35
"571130d4559af",12,29,74,45,26,35
"571130d934bda",12,29,74,45,26,35
"57113163e6fb1",12,29,74,45,26,35
"5711338142ff8",12,29,74,45,26,35
"5711348e42f02",12,29,74,45,26,35
"57113664403aa",12,29,74,75,26,35
"571137a34931a",12,29,74,45,26,35
"571137cd27765",12,29,74,45,26,35
"57113811e87c3",12,29,74,45,26,35
"57113869c7da3",12,29,74,45,26,35
"5711389736065",12,29,74,45,26,35
"57113a4121a89",12,29,74,45,26,35
"57113a5534205",12,29,74,45,26,35
"57113b5b3a024",12,29,74,45,26,35
"57113b9642c48",12,29,74,45,26,35
"57113ce1334e0",12,29,74,45,26,35
"57113d4d93c81",12,29,74,45,26,35
"57113d9cc42b5",12,29,74,45,26,35
"57113de4aed1a",12,29,74,45,26,35
"57113e3362c9f",12,29,74,45,26,35
"57113e516b76f",12,29,74,45,26,35
"57113e6176346",12,29,74,45,26,35
"5711405eb4abb",12,29,74,45,26,35
"571140921a69b",12,29,74,41,26,35
"5711411c30d21",12,29,74,45,26,35
"57114ae35c9ec",12,29,74,45,26,35
"57114ca79a200",12,29,74,45,26,35
"57114d8a4c057",12,27,74,45,26,35
"57114f82eb4e8",12,29,74,45,26,35
"571151812791a",12,29,74,45,26,35
"571151dbd14e1",12,29,74,45,26,35
"571152b41217b",12,29,74,45,26,35
"571153ca15566",12,29,74,45,26,35
"571154184c9bd",12,29,74,45,26,35
"5711541e3ef89",12,29,74,45,26,35
"57115527dee63",12,29,74,45,26,35
"57115d36d525e",12,29,74,45,26,35
"57115d964a760",12,29,74,45,26,35
"5711602ded5e3",12,29,74,45,26,35
"5711613cca97d",12,29,74,45,26,35
"5711641931da5",12,29,74,45,26,35
"571165992a5c1",12,29,74,45,26,35
"5711666e6f11e",12,29,75,45,26,35
"571168cfec0f3",12,29,74,45,26,35
"57116b9b879bf",12,29,74,45,26,35
"57116cefafde6",12,29,74,45,26,35
"5711703bd85fc",12,29,74,45,26,35
"571171d59aaee",12,29,74,45,26,35
"57117b1840694",12,29,74,45,26,35
"57117fe7495aa",12,24,74,45,26,35
"571183866d73f",12,29,74,45,26,35
"57118f3185613",12,29,74,45,26,35
"57119224388ef",12,29,74,45,26,35
"5711ace2ee7ed",12,29,74,45,26,35
"5711cbde51bb0",12,29,74,45,26,35
"5711e54c50f6b",12,29,74,45,26,35
"5711eaec4b831",12,29,74,45,26,35
"5711f4ec96b9c",12,29,74,46,26,35
"5711fa7171c43",12,29,74,45,26,35
"571210e10d88b",12,29,74,45,26,35
"571214121717c",12,29,74,45,26,35
"57121540dbb98",12,29,74,45,26,35
"5712197fbccd5",12,29,74,45,26,35
"57121a9db4723",12,29,74,45,26,35
"57121da339779",12,29,74,45,26,35
"57121e2a63601",12,29,74,46,26,35
"571220ea1e364",12,29,74,45,26,35
"57122e814fb61",12,29,74,45,26,35
"57122f7e5768f",12,29,74,45,26,35
"57123bec83e8e",12,29,74,45,26,35
"57123e4050550",12,29,74,45,26,35
"57124290029cc",12,29,74,45,26,35
"571243bcc8142",12,29,74,45,26,35
"571245f0af12d",12,29,74,45,26,35
"571247f66fb51",12,29,74,45,26,35
"571250d5ed94e",12,29,74,45,26,35
"57125194dfaea",12,29,74,45,26,34
"57125269186ff",12,29,74,45,26,35
"571252b436ab0",12,29,74,45,26,35
"571252e6d2e70",12,29,74,45,26,35
"571254945e4d5",12,29,74,45,26,35
"571260c120253",12,29,74,45,26,35
"5712649f2fada",12,29,74,45,26,35
"571267aea7f42",12,29,74,45,26,35
"57126ded93a6e",12,29,74,45,26,35
"5712787a337a9",12,29,74,45,26,35
"57127bcfaafb0",12,29,74,45,26,35
"57127c96a8385",12,29,74,45,26,35
"57127cb3ab1fe",12,24,74,45,26,35
"571285350bf39",12,28,74,45,26,35
"57128fb86c6a7",12,29,74,45,26,35
"57129d6d25453",12,29,74,45,26,35
"5712a254e00f7",12,29,74,45,26,35
"5712a47f6f8a6",12,29,74,45,26,35
"5712bd55a8a13",12,29,74,45,26,35
"5712c1176d5f8",12,29,74,45,26,35
"5712c2b021f58",12,29,71,45,26,35
"5712c57f97f25",12,29,74,45,26,35
"5712d16eb8094",12,29,74,45,26,35
"5712d9bc0cae3",12,29,74,45,26,35
"5712f05014a92",12,29,74,45,26,35
"57134ca950635",12,29,74,45,26,35
"57138a1e5c357",12,29,74,45,26,35
"57138ac176750",12,29,74,45,26,35
"5713923c1bbc7",12,29,74,45,26,35
"5713a02a13044",12,29,74,45,26,35
"5713aa57bebec",12,29,74,45,26,35
"5713acb331c3c",12,29,74,45,26,35
"5713ad43312ab",12,29,74,45,26,35
"5713b10383207",12,29,74,45,26,35
"5713b12b6bfe1",12,29,74,45,26,35
"5713b1512b337",12,29,74,45,26,35
"5713ca8413673",12,29,74,45,26,36
"5713ca85c56c3",12,29,71,45,26,35
"5713ce8c57c5e",12,29,74,45,26,35
"5713d766113e9",12,29,74,45,26,35
"5713dd915ca28",12,29,74,45,26,35
"5713ddde59251",12,29,74,45,26,35
"5713e73998df9",12,29,74,45,26,35
"5713fc80c942a",12,29,74,45,26,35
"571410751e7b0",12,25,24,42,26,35
"57142079d871e",12,29,74,45,26,35
"5714373377b80",12,29,74,45,26,35
"57143cf5433f2",12,29,74,45,26,35
"5714851a1c6b6",12,29,74,45,26,35
"57149713464b1",12,29,74,45,26,35
"57149a6bd7377",12,29,74,45,26,35
"5714d563c6e52",12,29,74,45,26,35
"5714dc153397f",12,29,74,45,26,35
"571534076a966",12,29,74,45,26,35
"57153d9a56ce0",12,29,74,45,26,35
"5715b5a3424f2",12,29,74,45,26,35
"5715ea836193d",12,29,74,45,26,35
"5715f69931d4c",12,29,74,45,26,35
"5716d167b95e4",12,29,75,45,26,35
"5716e9900f6ea",12,29,74,45,26,35
"571758337313b",12,29,74,45,26,35
"57190633f233f",12,29,74,45,26,35
"571d3dade2548",12,29,74,45,26,35
"572106a31c230",12,29,74,45,26,35
"5727633cd6511",12,29,74,45,26,35
"5727635041e99",12,29,74,45,26,35
"572767049ccfa",12,29,74,45,26,35
"57276731cfba9",12,29,74,45,26,35
"57276995206d6",12,29,74,45,26,35
"57276ede1eb9a",12,29,74,45,26,35
"57277ba3c5a5c",12,29,74,45,26,35
"5727d86840dc8",12,29,74,45,26,35
"5727e49793f7b",12,29,74,45,26,35
"5727f6d19e901",12,1,74,45,26,35
"572934019041e",12,29,74,45,26,36
"572a7874c1e2e",12,29,71,45,26,35
"572a791f6405b",12,29,74,45,26,35
"572baa7f9493c",12,29,74,45,26,35
"572c85675a5ef",12,29,74,45,26,35
"573468a8d9227",12,29,74,45,26,35
"57346e0b82fcf",12,29,74,45,26,35
"57346f25ac9dc",12,29,74,45,26,35
"573472733042a",12,29,74,45,26,35
"573472a925174",12,29,74,45,26,35
"573475db20e7e",12,29,74,45,26,35
"5734778df39f9",12,29,74,45,26,35
"5734779e28d4b",12,29,74,45,26,35
"5734803cbd960",12,29,74,45,26,35
"5734817c4a26e",12,29,74,45,26,35
"573487c07746d",12,29,74,45,26,35
"5734888924dde",12,29,74,45,26,35
"573489a51a63c",12,29,74,45,26,35
"573489efc113b",12,29,74,45,26,35
"57348b0557c9b",12,29,74,45,26,35
"57348b721234b",12,29,74,45,26,35
"57348e842e5cf",12,29,74,45,26,35
"5734918f46823",12,29,74,45,26,35
"5734969e2d360",12,29,74,45,26,35
"5734986b53a5f",12,29,74,45,26,35
"5734a37ae1096",12,29,74,45,26,35
"5734a397bac02",12,29,74,45,26,35
"5734ab1acddbc",12,29,74,45,26,35
"5734ad21c455d",12,29,74,45,26,35
"5734adaa824cc",12,29,74,45,26,35
"5734afb1afab5",12,29,74,45,26,35
"5734b3efd45eb",12,29,74,45,26,35
"5734b7388a309",12,29,71,45,26,32
"5734b9b419116",12,25,74,45,26,35
"5734bb397c0b0",12,29,74,45,26,35
"5734bdaf52f52",12,29,74,45,26,35
"5734be3458ec0",12,29,74,45,26,35
"5734d00c2ae97",12,29,74,45,26,35
"5734d7d289018",12,29,74,45,26,35
"5734d81ba001b",12,29,74,45,26,35
"5734d89183dab",12,29,74,45,26,35
"5734dc3aed51a",12,29,74,45,26,35
"5734de869432d",12,29,74,45,26,35
"5734e06ed4110",12,29,74,45,26,35
"5734e10f85ee9",12,29,74,45,26,35
"5734e397122ce",12,29,74,45,26,35
"5734f3ec5fa38",12,29,74,45,26,35
"5735cbb5a6419",12,29,74,45,26,35
"5735ccf7073c7",12,29,74,46,26,35
"5735d0dd6acd9",12,29,74,45,26,35
"5735d336c0595",12,29,74,45,26,35
"5735d3455a84c",12,24,74,45,26,35
"5735db5ac69d9",12,29,74,45,26,35
"5735e5395b194",12,29,74,45,26,35
"5735e55365790",12,29,74,45,26,35
"5735e71ff13c2",12,29,74,45,26,35
"5735e93073755",12,29,74,45,26,35
"5735ebdb81044",12,25,74,45,26,35
"5735f6ce71ec4",12,29,74,45,26,35
