"id","date","age","gender","academic_degree","nationality","country_residence","language","num_answers","in_person","time_spent"
"5710cbc5f0ea4","15-Apr-2016 12:08:53 WEST","23","Male","Bachelor Degree","portuguese","PT","pt",32,"no","21"
"5710cbe10cade","15-Apr-2016 12:09:21 WEST","21","Male","Bachelor Degree","portuguese","PT","pt",15,"no","32"
"5710cbf204d10","15-Apr-2016 12:09:38 WEST","22","Male","Master Degree","portuguese","PT","pt",3,"no","5"
"5710cbf28b1e1","15-Apr-2016 12:09:38 WEST","23","Female","Bachelor Degree","portuguese","PT","pt",0,"no","3"
"5710cc2b8a642","15-Apr-2016 12:10:35 WEST","24","Male","Master Degree","portuguese","PT","pt",16,"no","11"
"5710cc5a7829c","15-Apr-2016 12:11:22 WEST","27","Male","Bachelor Degree","portuguese","PT","pt",32,"no","14"
"5710cca334d60","15-Apr-2016 12:12:35 WEST","25","Female","Master Degree","portuguese","PT","pt",1,"no","5"
"5710cd0a515bb","15-Apr-2016 12:14:18 WEST","25","Male","Master Degree","portuguese","PT","pt",7,"no","15"
"5710cd289f4c3","15-Apr-2016 12:14:48 WEST","46","Female","College","portuguese","PT","pt",1,"no","6"
"5710cd99df604","15-Apr-2016 12:16:41 WEST","23","Female","Master Degree","portuguese","PT","pt",32,"no","12"
"5710cd9d571f2","15-Apr-2016 12:16:45 WEST","23","Male","Bachelor Degree","portuguese","PT","pt",8,"no","6"
"5710ce6c1308c","15-Apr-2016 12:20:12 WEST","23","Female","Bachelor Degree","portuguese","PT","pt",32,"no","-12"
"5710ce96dd6a3","15-Apr-2016 12:20:54 WEST","24","Male","Bachelor Degree","portuguese","PT","pt",1,"no","3"
"5710ceb320fdf","15-Apr-2016 12:21:23 WEST","23","Male","Ensino Secundário","portuguese","PT","pt",15,"no","28"
"5710cf445718e","15-Apr-2016 12:23:48 WEST","25","Male","Master Degree","portuguese","PT","pt",32,"no","13"
"5710d140b7c5a","15-Apr-2016 12:32:16 WEST","26","Male","College","portuguese","PT","pt",32,"no","8"
"5710d243c9715","15-Apr-2016 12:36:35 WEST","22","Male","Bachelor Degree","portuguese","PT","pt",2,"no","2"
"5710d28fec2d1","15-Apr-2016 12:37:51 WEST","30","Male","Doctoral Degree","portuguese","PT","pt",32,"no","13"
"5710d67393113","15-Apr-2016 12:54:27 WEST","24","Male","Bachelor Degree","portuguese","PT","pt",0,"no",
"5710d71ff24c3","15-Apr-2016 12:57:19 WEST","20","Female","Bachelor Degree","portuguese","PT","en",32,"no","-42"
"5710d7b312b93","15-Apr-2016 12:59:47 WEST","23","Female","Bachelor Degree","portuguese","PT","pt",1,"no","-58"
"5710d87585247","15-Apr-2016 13:03:01 WEST","31","Male","Master Degree","portuguese","PT","pt",3,"no","4"
"5710d8ca226a2","15-Apr-2016 13:04:26 WEST","21","Male","Bachelor Degree","portuguese","PT","pt",4,"no","3"
