id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cc2b8a642,objTwoColors,#FFFF00,90,10,121,4,0.78,0.04,0.21,0.03,0.03,0.01
5710cc5a7829c,objTwoColors,#FFFF00,59,0,47,5,0.69,0.16,0.2,0.06,0.13,0.08
5710cd99df604,objTwoColors,#FFFF00,60,0,149,4,0.69,0.16,0.2,0.06,0.13,0.07
5710ce6c1308c,objTwoColors,#FFFF00,59,55,96,5,0.43,0.01,0.18,0.03,0.01,0.03
5710cf445718e,objTwoColors,#FFFF00,0,53,47,5,0.16,0.18,0.2,0.07,0.15,0.1
5710d140b7c5a,objTwoColors,#FFFF00,46,0,102,3,0.63,0.2,0.2,0.09,0.18,0.12
5710d28fec2d1,objTwoColors,#FFFF00,0,210,336,1,0.45,0.42,0.24,0.13,0.29,0.22
5710d71ff24c3,objTwoColors,#FFFF00,0,0,180,1,0.41,0.28,0.22,0.2,0.26,0.24
5710e540a9514,objTwoColors,#FFFF00,10,111,191,4,0.04,0,0.22,0.03,0.04,0.01
5710e60f69205,objTwoColors,#FFFF00,52,0,217,4,0.66,0.18,0.2,0.07,0.16,0.1
5710ee55dcd72,objTwoColors,#FFFF00,136,6,214,5,0.82,0.04,0.21,0.04,0.05,0.02
57110028bc74b,objTwoColors,#FFFF00,0,59,92,3,0.13,0.16,0.2,0.06,0.13,0.08
571103343658b,objTwoColors,#FFFF00,61,58,127,5,0.43,0,0.18,0.03,0.02,0.04
5711106ab212a,objTwoColors,#FFFF00,43,0,29,5,0.61,0.21,0.2,0.1,0.19,0.13
5711148c11035,objTwoColors,#FFFF00,3,0,512,3,0.41,0.28,0.22,0.2,0.26,0.24
57111f6c42412,objTwoColors,#FFFF00,57,0,343,5,0.68,0.17,0.2,0.07,0.14,0.08
57112a657ac25,objTwoColors,#FFFF00,56,0,233,3,0.68,0.17,0.2,0.07,0.14,0.09
57112b9e10661,objTwoColors,#FFFF00,213,96,102,2,0.52,0.16,0.22,0.19,0.19,0.22
57112cec29456,objTwoColors,#FFFF00,113,11,416,5,0.82,0.01,0.22,0.03,0.04,0.01
57112d8509632,objTwoColors,#FFFF00,56,55,87,5,0.42,0.02,0.18,0.03,0.01,0.03
57112da850667,objTwoColors,#FFFF00,66,59,197,5,0.43,0.01,0.18,0.03,0.03,0.05
57112ebc85ba1,objTwoColors,#FFFF00,57,54,93,1,0.42,0.02,0.18,0.03,0.01,0.03
57112edad4a17,objTwoColors,#FFFF00,29,0,29,2,0.53,0.24,0.22,0.15,0.22,0.18
57112fc882a10,objTwoColors,#FFFF00,40,0,307,3,0.6,0.22,0.21,0.11,0.19,0.14
571130c5cd6e9,objTwoColors,#FFFF00,56,55,352,4,0.42,0.02,0.18,0.03,0.01,0.03
571130d934bda,objTwoColors,#FFFF00,59,0,233,4,0.69,0.16,0.2,0.06,0.13,0.08
57113163e6fb1,objTwoColors,#FFFF00,245,141,583,3,0.61,0.33,0.26,0.22,0.33,0.29
5711348e42f02,objTwoColors,#FFFF00,46,0,504,3,0.63,0.2,0.2,0.09,0.18,0.12
571137a34931a,objTwoColors,#FFFF00,50,0,73,2,0.65,0.19,0.2,0.08,0.16,0.11
571137cd27765,objTwoColors,#FFFF00,245,116,567,4,0.58,0.27,0.27,0.21,0.28,0.26
57113d4d93c81,objTwoColors,#FFFF00,50,0,35,4,0.65,0.19,0.2,0.08,0.16,0.11
