id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6
5710ee9e58646,objTwoColors,#0080FF,10,242,620,2,0.62,0.16,0.19,0.08,0.18,0.18,0.86,0.83,0.66,0.86,0.83,0.45
5711231e370f2,objTwoColors,#0080FF,0,194,88,4,0.58,0.09,0.14,0.03,0.06,0.05,0.68,0.64,0.48,0.68,0.64,0.59
571151812791a,objTwoColors,#0080FF,54,158,82,3,0.45,0.43,0.15,0.09,0.15,0.12,0.6,0.57,0.6,0.6,0.57,0.54
5713a02a13044,objTwoColors,#0080FF,228,0,83,3,0.86,0.11,0.18,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
572767049ccfa,objTwoColors,#0080FF,181,57,148,3,0.61,0.43,0.15,0.06,0.12,0.07,0.49,0.46,0.48,0.49,0.46,0.77
572c85675a5ef,objTwoColors,#0080FF,206,209,167,5,0.61,0.02,0.14,0.17,0.22,0.29,0.33,0.31,0.14,0.33,0.31,0.52
5739ff85289b2,objTwoColors,#0080FF,55,110,101,3,0.58,0.41,0.14,0.12,0.2,0.17,0.75,0.71,0.74,0.75,0.71,0.67
573a059da0efd,objTwoColors,#0080FF,76,53,296,4,0.4,0.4,0.14,0.12,0.17,0.14,0.75,0.71,0.74,0.75,0.71,0.54
573a0b8280839,objTwoColors,#0080FF,0,267,253,3,0.6,0.2,0.18,0.11,0.17,0.18,0.84,0.8,0.64,0.84,0.8,0.42
573c70dabcfe0,objTwoColors,#0080FF,128,67,431,2,0.37,0.42,0.14,0.11,0.21,0.18,0.75,0.73,0.76,0.75,0.73,0.5
573c783748e8b,objTwoColors,#0080FF,238,225,123,3,0.77,0.12,0.25,0.21,0.34,0.38,0.31,0.35,0.31,0.31,0.35,0.59
573e4022949b1,objTwoColors,#0080FF,235,0,80,5,0.88,0.12,0.2,0.09,0.19,0.18,0.4,0.43,0.54,0.4,0.43,1.07
573e47c26cb8e,objTwoColors,#0080FF,5,103,120,2,0.83,0.39,0.14,0.1,0.16,0.13,0.78,0.74,0.8,0.78,0.74,0.93
573e4d0eb795b,objTwoColors,#0080FF,223,0,52,4,0.85,0.1,0.17,0.09,0.17,0.15,0.42,0.42,0.51,0.42,0.42,1.04
573edae85268b,objTwoColors,#0080FF,237,0,2622,2,0.88,0.13,0.2,0.09,0.19,0.18,0.4,0.44,0.54,0.4,0.44,1.07
5740a8b59d448,objTwoColors,#0080FF,249,0,209,3,0.88,0.15,0.2,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
5740ad339507d,objTwoColors,#0080FF,117,53,348,3,0.35,0.41,0.14,0.12,0.2,0.17,0.78,0.75,0.77,0.78,0.75,0.49
5740b0f8e9734,objTwoColors,#0080FF,228,0,52,5,0.86,0.11,0.18,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
5740b686127bb,objTwoColors,#0080FF,215,254,875,3,0.7,0.12,0.2,0.2,0.32,0.35,0.37,0.36,0.26,0.37,0.36,0.52
5740bda9be3dc,objTwoColors,#0080FF,222,216,84,5,0.7,0.08,0.18,0.19,0.29,0.34,0.29,0.29,0.23,0.29,0.29,0.57
5740e3f36a945,objTwoColors,#0080FF,217,0,79,2,0.82,0.1,0.16,0.08,0.15,0.13,0.44,0.43,0.49,0.44,0.43,1.01
574859b8f3379,objTwoColors,#0080FF,230,0,60,1,0.87,0.11,0.19,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
5756ab1701ba0,objTwoColors,#0080FF,58,144,192,5,0.51,0.42,0.14,0.1,0.18,0.15,0.68,0.65,0.68,0.68,0.65,0.6
5756ae6897296,objTwoColors,#0080FF,6,313,97,5,0.44,0.39,0.14,0.17,0.21,0.19,0.77,0.73,0.64,0.77,0.73,0.63
5756b2d9bd658,objTwoColors,#0080FF,239,0,126,3,0.88,0.13,0.2,0.09,0.19,0.18,0.4,0.44,0.55,0.4,0.44,1.07
5757fd2703090,objTwoColors,#0080FF,212,0,134,5,0.8,0.09,0.15,0.07,0.13,0.11,0.47,0.45,0.47,0.47,0.45,0.99
5757ffca0b4b1,objTwoColors,#0080FF,206,0,55,5,0.76,0.09,0.14,0.06,0.11,0.09,0.5,0.48,0.46,0.5,0.48,0.95
57581518c2c07,objTwoColors,#0080FF,229,0,79,5,0.87,0.11,0.19,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
57582b17cd76a,objTwoColors,#0080FF,227,0,72,4,0.86,0.11,0.18,0.09,0.18,0.16,0.4,0.43,0.53,0.4,0.43,1.05
