id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6
5710cbe10cade,objTwoColors,#0080FF,226,210,133,4,0.71,0.07,0.17,0.19,0.28,0.33,0.25,0.26,0.21,0.25,0.26,0.61
5710cc5a7829c,objTwoColors,#0080FF,209,0,85,4,0.78,0.09,0.14,0.07,0.12,0.1,0.49,0.47,0.46,0.49,0.47,0.97
5710cca334d60,objTwoColors,#0080FF,59,98,992,4,0.54,0.41,0.14,0.11,0.2,0.17,0.74,0.71,0.74,0.74,0.71,0.66
5710cd99df604,objTwoColors,#0080FF,203,209,260,2,0.59,0.01,0.14,0.16,0.21,0.28,0.35,0.33,0.15,0.35,0.33,0.5
5710ce6c1308c,objTwoColors,#0080FF,232,0,106,4,0.87,0.12,0.19,0.09,0.19,0.17,0.39,0.43,0.54,0.39,0.43,1.07
5710cf445718e,objTwoColors,#0080FF,0,235,41,5,0.64,0.12,0.2,0.09,0.19,0.18,0.87,0.83,0.67,0.87,0.83,0.46
5710d140b7c5a,objTwoColors,#0080FF,228,0,54,3,0.86,0.11,0.18,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
5710d28fec2d1,objTwoColors,#0080FF,0,200,328,1,0.58,0.09,0.14,0.04,0.08,0.07,0.71,0.68,0.52,0.71,0.68,0.55
5710d71ff24c3,objTwoColors,#0080FF,125,53,416,5,0.35,0.41,0.14,0.12,0.2,0.17,0.78,0.74,0.76,0.78,0.74,0.49
5710d87585247,objTwoColors,#0080FF,48,98,251,2,0.59,0.4,0.14,0.12,0.19,0.16,0.74,0.7,0.74,0.74,0.7,0.71
5710dc97aac05,objTwoColors,#0080FF,0,173,152,3,0.64,0.41,0.14,0.05,0.02,0.03,0.56,0.53,0.56,0.56,0.53,0.71
5710e540a9514,objTwoColors,#0080FF,218,0,81,4,0.83,0.1,0.16,0.08,0.15,0.13,0.44,0.43,0.49,0.44,0.43,1.02
5710e60f69205,objTwoColors,#0080FF,52,132,259,4,0.57,0.42,0.14,0.12,0.19,0.16,0.73,0.69,0.73,0.73,0.69,0.68
5710ea84d4c6f,objTwoColors,#0080FF,226,0,87,5,0.86,0.11,0.18,0.09,0.17,0.16,0.41,0.42,0.52,0.41,0.42,1.05
57110028bc74b,objTwoColors,#0080FF,0,182,164,5,0.61,0.09,0.14,0.05,0.02,0.02,0.61,0.57,0.51,0.61,0.57,0.66
571103343658b,objTwoColors,#0080FF,1,211,617,5,0.59,0.09,0.15,0.07,0.12,0.11,0.78,0.74,0.58,0.78,0.74,0.49
5711106ab212a,objTwoColors,#0080FF,234,0,174,5,0.88,0.12,0.19,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
5711148c11035,objTwoColors,#0080FF,181,321,188,3,0.37,0.12,0.14,0.06,0.15,0.12,0.51,0.48,0.38,0.51,0.48,0.57
57111f6c42412,objTwoColors,#0080FF,203,0,90,5,0.74,0.09,0.14,0.05,0.1,0.08,0.52,0.5,0.47,0.52,0.5,0.93
57112b9e10661,objTwoColors,#0080FF,52,0,233,2,0.49,0.43,0.14,0.15,0.21,0.16,0.9,0.86,0.83,0.9,0.86,0.68
57112cec29456,objTwoColors,#0080FF,209,208,260,5,0.63,0.02,0.14,0.17,0.22,0.29,0.31,0.29,0.14,0.31,0.29,0.54
57112d73dfafe,objTwoColors,#0080FF,312,178,292,2,0.61,0.13,0.14,0.06,0.18,0.14,0.29,0.26,0.25,0.29,0.26,0.68
57112d8509632,objTwoColors,#0080FF,236,184,123,3,0.74,0.03,0.14,0.16,0.25,0.27,0.08,0.12,0.15,0.08,0.12,0.78
57112da850667,objTwoColors,#0080FF,248,184,108,5,0.74,0.06,0.14,0.16,0.25,0.27,0.07,0.11,0.15,0.07,0.11,0.78
57112da850667,objTwoColors,#0080FF,0,173,47,4,0.64,0.41,0.14,0.05,0.02,0.03,0.56,0.53,0.56,0.56,0.53,0.71
57112ebc85ba1,objTwoColors,#0080FF,207,202,119,1,0.61,0.01,0.14,0.16,0.2,0.27,0.29,0.27,0.1,0.29,0.27,0.57
57112edad4a17,objTwoColors,#0080FF,204,0,67,4,0.75,0.09,0.14,0.05,0.1,0.08,0.52,0.49,0.47,0.52,0.49,0.94
57112f57403ee,objTwoColors,#0080FF,224,0,178,2,0.85,0.11,0.17,0.09,0.17,0.15,0.41,0.42,0.52,0.41,0.42,1.04
