id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
5710ee9e58646,objTwoColors,#80FF00,59,208,97,4,0.55,0.04,0.3,0.15,0.16,0.2,0.64,0.64,0.73,0.64,0.64,0.93,0.49,0.49
5711231e370f2,objTwoColors,#80FF00,0,147,422,4,0.55,0.06,0.32,0.13,0.13,0.12,0.53,0.54,0.61,0.55,0.54,0.69,0.16,0.17
571151812791a,objTwoColors,#80FF00,216,57,146,3,0.5,0.04,0.32,0.15,0.18,0.23,0.27,0.27,0.17,0.27,0.27,0.07,0.74,0.74
5713a02a13044,objTwoColors,#80FF00,150,0,326,2,0.37,0.05,0.31,0.14,0.14,0.12,0.42,0.42,0.5,0.4,0.42,0.73,0.8,0.8
572767049ccfa,objTwoColors,#80FF00,185,58,100,3,0.31,0.05,0.26,0.11,0.11,0.14,0.08,0.08,0.07,0.08,0.08,0.25,0.64,0.65
572c85675a5ef,objTwoColors,#80FF00,98,93,208,5,0.12,0.02,0.31,0.07,0.04,0.06,0.35,0.35,0.49,0.36,0.35,0.66,0.63,0.64
5739ff85289b2,objTwoColors,#80FF00,17,33,40,3,0.51,0.3,0.31,0.2,0.28,0.25,0.49,0.48,0.51,0.47,0.48,0.67,0.33,0.33
573a059da0efd,objTwoColors,#80FF00,197,53,385,5,0.4,0.04,0.27,0.12,0.14,0.17,0.17,0.17,0.05,0.15,0.17,0.2,0.68,0.68
573a0b8280839,objTwoColors,#80FF00,0,33,27,3,0.55,0.34,0.32,0.23,0.32,0.27,0.53,0.52,0.54,0.51,0.52,0.69,0.28,0.29
573c70dabcfe0,objTwoColors,#80FF00,66,124,472,3,0.26,0.01,0.3,0.05,0.02,0.02,0.36,0.37,0.5,0.38,0.37,0.67,0.53,0.54
573c783748e8b,objTwoColors,#80FF00,115,98,423,3,0.15,0.04,0.31,0.08,0.04,0.07,0.37,0.38,0.51,0.39,0.38,0.68,0.66,0.67
573e4022949b1,objTwoColors,#80FF00,120,0,113,5,0.3,0.11,0.33,0.12,0.09,0.1,0.52,0.52,0.6,0.5,0.52,0.83,0.82,0.83
573e47c26cb8e,objTwoColors,#80FF00,55,250,281,2,0.66,0.36,0.36,0.16,0.27,0.27,0.73,0.74,0.84,0.74,0.74,1.02,0.58,0.59
573e4d0eb795b,objTwoColors,#80FF00,102,0,127,4,0.29,0.14,0.33,0.12,0.09,0.11,0.51,0.51,0.59,0.49,0.51,0.83,0.81,0.81
573edae85268b,objTwoColors,#80FF00,178,59,768,3,0.26,0.05,0.26,0.11,0.1,0.12,0.04,0.05,0.11,0.06,0.05,0.28,0.63,0.64
5740a8b59d448,objTwoColors,#80FF00,193,55,114,5,0.37,0.04,0.27,0.12,0.13,0.16,0.14,0.14,0.04,0.13,0.14,0.22,0.66,0.67
5740ad339507d,objTwoColors,#80FF00,203,57,101,4,0.42,0.04,0.28,0.14,0.15,0.19,0.19,0.19,0.09,0.19,0.19,0.14,0.69,0.7
5740b0f8e9734,objTwoColors,#80FF00,115,0,65,4,0.3,0.12,0.33,0.12,0.09,0.1,0.52,0.52,0.6,0.5,0.52,0.83,0.82,0.83
5740b686127bb,objTwoColors,#80FF00,160,52,77,3,0.18,0.04,0.27,0.07,0.07,0.08,0.11,0.11,0.19,0.1,0.11,0.42,0.63,0.63
5740bda9be3dc,objTwoColors,#80FF00,56,206,127,4,0.55,0.04,0.29,0.14,0.16,0.2,0.62,0.63,0.73,0.63,0.63,0.91,0.47,0.47
5740e3f36a945,objTwoColors,#80FF00,257,54,222,2,0.56,0.36,0.36,0.16,0.27,0.27,0.33,0.33,0.21,0.32,0.33,0.03,0.77,0.77
574859b8f3379,objTwoColors,#80FF00,199,65,157,4,0.41,0.04,0.28,0.15,0.13,0.17,0.18,0.19,0.1,0.2,0.19,0.18,0.68,0.68
5756ab1701ba0,objTwoColors,#80FF00,210,74,162,4,0.51,0.06,0.31,0.17,0.16,0.2,0.29,0.29,0.21,0.3,0.29,0.15,0.71,0.71
5756ae6897296,objTwoColors,#80FF00,186,162,528,4,0.49,0.23,0.26,0.19,0.21,0.24,0.26,0.27,0.24,0.28,0.27,0.42,0.49,0.49
5756b2d9bd658,objTwoColors,#80FF00,202,59,101,5,0.41,0.04,0.28,0.14,0.14,0.18,0.18,0.19,0.1,0.2,0.19,0.14,0.69,0.7
5757fd2703090,objTwoColors,#80FF00,143,0,163,5,0.34,0.06,0.32,0.13,0.12,0.11,0.46,0.46,0.53,0.44,0.46,0.77,0.8,0.81
5757ffca0b4b1,objTwoColors,#80FF00,131,0,180,3,0.3,0.09,0.33,0.12,0.1,0.11,0.5,0.5,0.58,0.48,0.5,0.82,0.82,0.82
57581518c2c07,objTwoColors,#80FF00,235,52,119,5,0.58,0.36,0.36,0.16,0.28,0.28,0.35,0.35,0.22,0.34,0.35,0.04,0.79,0.78
57582b17cd76a,objTwoColors,#80FF00,55,193,115,4,0.48,0.04,0.27,0.12,0.13,0.16,0.55,0.56,0.66,0.56,0.56,0.84,0.38,0.39
