id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
5710cc2b8a642,objTwoColors,#0080FF,235,0,66,4,0.4,0.12,0.42,0.24,0.14,0.19,0.88,1.07
5710cc5a7829c,objTwoColors,#0080FF,209,0,75,4,0.49,0.09,0.33,0.24,0.15,0.18,0.78,0.97
5710cd0a515bb,objTwoColors,#0080FF,207,0,78,5,0.5,0.09,0.33,0.24,0.16,0.18,0.77,0.96
5710cd99df604,objTwoColors,#0080FF,195,201,171,2,0.35,0.04,0.26,0.08,0.09,0.04,0.53,0.49
5710ce6c1308c,objTwoColors,#0080FF,197,219,104,4,0.44,0.02,0.32,0.05,0.01,0.08,0.57,0.43
5710cf445718e,objTwoColors,#0080FF,8,0,586,5,0.94,0.47,0.34,0.41,0.47,0.41,0.73,0.91
5710d140b7c5a,objTwoColors,#0080FF,199,235,123,3,0.48,0.07,0.37,0.04,0.06,0.11,0.62,0.44
5710d28fec2d1,objTwoColors,#0080FF,0,288,99,1,0.79,0.27,0.38,0.3,0.3,0.24,0.51,0.51
5710d71ff24c3,objTwoColors,#0080FF,331,145,456,2,0.57,0.4,0.29,0.22,0.22,0.23,0.75,0.85
5710e540a9514,objTwoColors,#0080FF,226,0,86,4,0.41,0.11,0.4,0.25,0.14,0.18,0.86,1.05
5710e60f69205,objTwoColors,#0080FF,41,156,435,4,0.61,0.42,0.26,0.29,0.35,0.29,0.53,0.62
57110028bc74b,objTwoColors,#0080FF,0,194,52,4,0.68,0.09,0.29,0.24,0.18,0.2,0.58,0.59
571103343658b,objTwoColors,#0080FF,210,203,105,4,0.27,0.01,0.31,0.06,0.02,0.07,0.62,0.58
5711106ab212a,objTwoColors,#0080FF,232,0,91,5,0.39,0.12,0.42,0.25,0.14,0.19,0.87,1.07
5711148c11035,objTwoColors,#0080FF,178,305,109,3,0.5,0.13,0.28,0.15,0.05,0.05,0.27,0.45
57111f6c42412,objTwoColors,#0080FF,209,0,52,5,0.49,0.09,0.33,0.24,0.15,0.18,0.78,0.97
571128aba60e2,objTwoColors,#0080FF,230,0,76,4,0.4,0.11,0.41,0.25,0.14,0.19,0.87,1.06
57112b9e10661,objTwoColors,#0080FF,59,102,166,2,0.74,0.41,0.28,0.31,0.41,0.35,0.55,0.66
57112cec29456,objTwoColors,#0080FF,213,210,290,5,0.3,0.04,0.34,0.04,0.01,0.1,0.65,0.55
