id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12
5710ee9e58646,objTwoColors,#00FF80,101,198,510,4,0.91,0.02,0.11,0.09,0.12,0.15,0.36,0.38,0.44,0.38,0.38,0.15,0.16,0.11,0.16,0.16,0.57,0.57
5711231e370f2,objTwoColors,#00FF80,0,145,637,3,0.69,0.1,0.09,0.08,0.1,0.15,0.55,0.57,0.56,0.58,0.57,0.58,0.59,0.66,0.59,0.59,0.17,0.18
571151812791a,objTwoColors,#00FF80,59,228,90,3,1.01,0.04,0.07,0.03,0.04,0.04,0.63,0.65,0.64,0.65,0.65,0.44,0.45,0.33,0.45,0.45,0.59,0.59
5713a02a13044,objTwoColors,#00FF80,5,0,287,4,0.83,0.39,0.07,0.23,0.29,0.25,0.69,0.69,0.64,0.67,0.69,0.8,0.8,0.82,0.8,0.8,0.4,0.4
572767049ccfa,objTwoColors,#00FF80,158,0,109,4,0.68,0.09,0.1,0.07,0.05,0.12,0.42,0.43,0.33,0.41,0.43,0.53,0.54,0.51,0.54,0.54,0.79,0.8
572c85675a5ef,objTwoColors,#00FF80,104,59,485,3,0.55,0.09,0.11,0.11,0.2,0.23,0.01,0.02,0.1,0.03,0.02,0.23,0.23,0.38,0.23,0.23,0.64,0.65
573a059da0efd,objTwoColors,#00FF80,199,63,181,5,0.17,0.09,0.13,0.04,0.09,0.1,0.4,0.42,0.37,0.43,0.42,0.61,0.61,0.63,0.62,0.61,0.68,0.68
573a0b8280839,objTwoColors,#00FF80,0,37,211,3,0.66,0.33,0.09,0.18,0.25,0.2,0.52,0.53,0.47,0.52,0.53,0.68,0.68,0.73,0.69,0.68,0.27,0.27
573c70dabcfe0,objTwoColors,#00FF80,74,246,321,3,1.04,0.06,0.07,0.07,0.08,0.07,0.6,0.61,0.6,0.61,0.61,0.4,0.4,0.29,0.4,0.4,0.65,0.66
573c783748e8b,objTwoColors,#00FF80,142,0,350,3,0.78,0.1,0.09,0.08,0.11,0.16,0.33,0.34,0.28,0.32,0.34,0.44,0.45,0.46,0.45,0.45,0.81,0.81
573e4022949b1,objTwoColors,#00FF80,149,0,108,5,0.74,0.1,0.09,0.08,0.09,0.15,0.37,0.38,0.28,0.36,0.38,0.48,0.49,0.46,0.49,0.49,0.8,0.8
573e47c26cb8e,objTwoColors,#00FF80,38,201,76,2,0.88,0.11,0.12,0.02,0.04,0.04,0.61,0.62,0.61,0.62,0.62,0.41,0.41,0.28,0.41,0.41,0.34,0.35
573e4d0eb795b,objTwoColors,#00FF80,145,0,200,3,0.76,0.1,0.09,0.08,0.1,0.15,0.35,0.36,0.27,0.34,0.36,0.46,0.47,0.45,0.47,0.47,0.8,0.81
573edae85268b,objTwoColors,#00FF80,79,146,496,4,0.67,0.1,0.12,0.09,0.19,0.24,0.2,0.21,0.25,0.22,0.21,0.22,0.22,0.34,0.22,0.22,0.51,0.52
5740a8b59d448,objTwoColors,#00FF80,130,0,531,5,0.82,0.12,0.08,0.09,0.14,0.18,0.3,0.31,0.31,0.29,0.31,0.41,0.42,0.49,0.42,0.42,0.82,0.82
5740ad339507d,objTwoColors,#00FF80,117,0,136,3,0.83,0.13,0.08,0.1,0.16,0.18,0.3,0.3,0.33,0.28,0.3,0.41,0.41,0.51,0.41,0.41,0.82,0.83
5740b0f8e9734,objTwoColors,#00FF80,152,0,347,4,0.72,0.1,0.1,0.08,0.08,0.14,0.38,0.4,0.29,0.38,0.4,0.49,0.51,0.47,0.51,0.51,0.79,0.8
5740b686127bb,objTwoColors,#00FF80,168,58,127,4,0.35,0.1,0.14,0.07,0.13,0.16,0.21,0.23,0.17,0.23,0.23,0.42,0.44,0.45,0.44,0.44,0.62,0.63
5740bda9be3dc,objTwoColors,#00FF80,66,188,458,5,0.82,0.1,0.14,0.06,0.12,0.13,0.41,0.42,0.42,0.42,0.42,0.2,0.2,0.12,0.2,0.2,0.39,0.4
5740e3f36a945,objTwoColors,#00FF80,154,0,45,3,0.71,0.09,0.1,0.08,0.07,0.13,0.4,0.41,0.3,0.39,0.41,0.51,0.52,0.48,0.52,0.52,0.79,0.8
