id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9
5710ee9e58646,objTwoColors,#FF007F,226,355,333,3,0.3,0.25,0.09,0.09,0.18,0.1,0.86,0.86,0.67,0.86,0.86,0.5,0.5,0.65,0.49
5711231e370f2,objTwoColors,#FF007F,342,0,1084,4,0.76,0.14,0.07,0.22,0.28,0.23,0.4,0.38,0.2,0.39,0.38,0.54,0.53,0.33,0.51
571151812791a,objTwoColors,#FF007F,6,209,88,3,0.97,0.27,0.07,0.06,0.1,0.04,0.19,0.2,0.36,0.21,0.2,0.74,0.74,0.57,0.74
5713a02a13044,objTwoColors,#FF007F,343,0,150,3,0.77,0.14,0.07,0.22,0.28,0.23,0.39,0.38,0.19,0.38,0.38,0.55,0.53,0.33,0.51
572767049ccfa,objTwoColors,#FF007F,5,116,118,4,0.7,0.27,0.08,0.1,0.16,0.18,0.44,0.44,0.41,0.44,0.44,0.47,0.47,0.32,0.48
572c85675a5ef,objTwoColors,#FF007F,221,8,77,5,0.3,0.23,0.08,0.08,0.14,0.08,0.85,0.85,0.66,0.85,0.85,0.48,0.48,0.63,0.47
5739ff85289b2,objTwoColors,#FF007F,111,33,10,2,0.69,0.3,0.1,0.1,0.19,0.2,0.73,0.73,0.58,0.73,0.73,0.57,0.55,0.51,0.54
573a059da0efd,objTwoColors,#FF007F,0,0,0,1,0.83,0.16,0.05,0.24,0.3,0.25,0.33,0.32,0.15,0.32,0.32,0.61,0.59,0.39,0.57
573a0b8280839,objTwoColors,#FF007F,47,37,45,3,0.62,0.2,0.13,0.14,0.17,0.17,0.52,0.52,0.38,0.52,0.52,0.43,0.42,0.3,0.41
573c70dabcfe0,objTwoColors,#FF007F,348,0,535,2,0.8,0.15,0.07,0.23,0.29,0.24,0.36,0.35,0.16,0.35,0.35,0.57,0.56,0.36,0.54
573c783748e8b,objTwoColors,#FF007F,351,0,539,4,0.81,0.15,0.07,0.23,0.29,0.25,0.35,0.34,0.15,0.34,0.34,0.59,0.58,0.37,0.56
573e4022949b1,objTwoColors,#FF007F,333,0,151,5,0.7,0.12,0.08,0.2,0.26,0.21,0.47,0.45,0.27,0.45,0.45,0.47,0.46,0.26,0.44
573e47c26cb8e,objTwoColors,#FF007F,3,40,138,3,0.64,0.15,0.09,0.17,0.23,0.19,0.31,0.31,0.2,0.31,0.31,0.41,0.4,0.2,0.39
573e4d0eb795b,objTwoColors,#FF007F,331,0,79,5,0.68,0.11,0.08,0.2,0.25,0.2,0.48,0.47,0.28,0.47,0.47,0.45,0.44,0.26,0.42
573edae85268b,objTwoColors,#FF007F,358,300,383,3,0.91,0.01,0.07,0.16,0.19,0.13,0.04,0.06,0.23,0.06,0.06,0.68,0.68,0.5,0.68
5740a8b59d448,objTwoColors,#FF007F,4,0,12,5,0.83,0.16,0.05,0.24,0.29,0.25,0.33,0.32,0.15,0.32,0.32,0.6,0.59,0.39,0.57
5740ad339507d,objTwoColors,#FF007F,347,0,111,2,0.79,0.15,0.07,0.23,0.28,0.24,0.37,0.35,0.17,0.36,0.35,0.57,0.56,0.36,0.54
5740b0f8e9734,objTwoColors,#FF007F,331,0,61,4,0.68,0.11,0.08,0.2,0.25,0.2,0.48,0.47,0.28,0.47,0.47,0.45,0.44,0.26,0.42
5740b686127bb,objTwoColors,#FF007F,340,293,245,3,0.86,0.11,0.07,0.13,0.17,0.11,0.15,0.17,0.33,0.17,0.17,0.63,0.63,0.45,0.62
5740bda9be3dc,objTwoColors,#FF007F,342,306,363,5,0.82,0.05,0.07,0.15,0.17,0.12,0.08,0.09,0.25,0.1,0.09,0.6,0.6,0.42,0.59
5740e3f36a945,objTwoColors,#FF007F,330,0,512,3,0.67,0.11,0.08,0.2,0.25,0.2,0.49,0.48,0.29,0.48,0.48,0.45,0.44,0.27,0.42
574859b8f3379,objTwoColors,#FF007F,359,190,600,3,0.86,0.32,0.11,0.03,0.05,0.03,0.18,0.19,0.32,0.19,0.19,0.63,0.63,0.47,0.63
5756ab1701ba0,objTwoColors,#FF007F,342,0,217,5,0.76,0.14,0.07,0.22,0.28,0.23,0.4,0.38,0.2,0.39,0.38,0.54,0.53,0.33,0.51
5756ae6897296,objTwoColors,#FF007F,231,270,194,4,0.48,0.39,0.16,0.19,0.33,0.32,0.73,0.75,0.9,0.75,0.75,0.7,0.72,0.89,0.72
5756b2d9bd658,objTwoColors,#FF007F,46,309,403,4,0.84,0.16,0.09,0.07,0.14,0.07,0.23,0.22,0.38,0.22,0.22,0.64,0.65,0.54,0.64
5757fd2703090,objTwoColors,#FF007F,333,0,101,2,0.7,0.12,0.08,0.2,0.26,0.21,0.47,0.45,0.27,0.45,0.45,0.47,0.46,0.26,0.44
5757ffca0b4b1,objTwoColors,#FF007F,329,0,73,5,0.66,0.11,0.08,0.2,0.25,0.2,0.5,0.48,0.3,0.49,0.48,0.44,0.43,0.28,0.41
57581518c2c07,objTwoColors,#FF007F,75,326,258,4,0.79,0.15,0.1,0.04,0.11,0.1,0.47,0.46,0.38,0.46,0.46,0.64,0.63,0.57,0.63
57582b17cd76a,objTwoColors,#FF007F,202,12,229,3,0.39,0.27,0.09,0.04,0.06,0.02,0.79,0.79,0.6,0.79,0.79,0.42,0.43,0.55,0.42
