id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9
5710cbe10cade,objTwoColors,#FF007F,307,340,142,3,0.48,0.05,0.08,0.15,0.17,0.11,0.57,0.56,0.38,0.57,0.56,0.26,0.27,0.41,0.26
5710cc2b8a642,objTwoColors,#FF007F,312,339,366,4,0.51,0.04,0.08,0.16,0.17,0.12,0.54,0.53,0.34,0.53,0.53,0.29,0.28,0.38,0.27
5710cc5a7829c,objTwoColors,#FF007F,334,0,115,4,0.7,0.12,0.07,0.2,0.26,0.21,0.46,0.44,0.26,0.44,0.44,0.48,0.47,0.27,0.45
5710cd99df604,objTwoColors,#FF007F,10,322,474,3,0.82,0.12,0.07,0.19,0.23,0.17,0.12,0.11,0.09,0.11,0.11,0.6,0.6,0.41,0.59
5710ce6c1308c,objTwoColors,#FF007F,355,300,66,4,0.9,0.02,0.07,0.16,0.19,0.13,0.05,0.06,0.23,0.07,0.06,0.68,0.68,0.5,0.68
5710ceb320fdf,objTwoColors,#FF007F,0,327,221,5,0.82,0.1,0.07,0.2,0.24,0.19,0.14,0.14,0.05,0.14,0.14,0.6,0.58,0.39,0.57
5710cf445718e,objTwoColors,#FF007F,356,58,661,3,0.56,0.15,0.1,0.14,0.2,0.17,0.35,0.34,0.27,0.34,0.34,0.33,0.32,0.17,0.32
5710d140b7c5a,objTwoColors,#FF007F,17,0,230,3,0.81,0.15,0.07,0.22,0.28,0.24,0.38,0.36,0.18,0.36,0.36,0.59,0.58,0.38,0.56
5710d28fec2d1,objTwoColors,#FF007F,0,233,59,1,1.06,0.22,0.1,0.09,0.19,0.12,0.23,0.25,0.42,0.25,0.25,0.84,0.83,0.66,0.83
5710d71ff24c3,objTwoColors,#FF007F,3,275,209,3,1,0.09,0.08,0.11,0.17,0.12,0.16,0.18,0.35,0.18,0.18,0.77,0.77,0.6,0.77
5710d9dcc23f0,objTwoColors,#FF007F,327,320,43,3,0.66,0.05,0.08,0.16,0.17,0.11,0.27,0.27,0.27,0.27,0.27,0.43,0.42,0.32,0.42
5710dc97aac05,objTwoColors,#FF007F,353,254,428,1,1.05,0.19,0.1,0.1,0.18,0.12,0.23,0.25,0.41,0.25,0.25,0.82,0.82,0.64,0.82
5710e540a9514,objTwoColors,#FF007F,9,0,9,4,0.83,0.16,0.07,0.23,0.29,0.25,0.35,0.33,0.15,0.33,0.33,0.6,0.59,0.39,0.57
5710e60f69205,objTwoColors,#FF007F,342,0,713,2,0.76,0.14,0.07,0.22,0.28,0.23,0.4,0.38,0.2,0.39,0.38,0.54,0.53,0.33,0.51
5710ea84d4c6f,objTwoColors,#FF007F,308,352,833,3,0.5,0,0.07,0.16,0.19,0.14,0.63,0.63,0.44,0.63,0.63,0.27,0.28,0.42,0.27
5710ee3fd83e6,objTwoColors,#FF007F,0,328,119,5,0.82,0.11,0.07,0.2,0.25,0.2,0.15,0.15,0.04,0.15,0.15,0.6,0.58,0.39,0.57
57110028bc74b,objTwoColors,#FF007F,0,323,89,5,0.83,0.09,0.07,0.19,0.23,0.18,0.11,0.11,0.08,0.11,0.11,0.61,0.59,0.41,0.59
571103343658b,objTwoColors,#FF007F,327,330,185,4,0.63,0.01,0.08,0.16,0.18,0.12,0.35,0.35,0.19,0.35,0.35,0.4,0.39,0.28,0.39
5711106ab212a,objTwoColors,#FF007F,4,159,375,2,0.72,0.33,0.1,0.07,0.06,0.12,0.29,0.3,0.33,0.3,0.3,0.49,0.49,0.34,0.5
5711148c11035,objTwoColors,#FF007F,308,61,495,2,0.24,0.16,0.09,0.04,0.11,0.05,0.66,0.66,0.58,0.66,0.66,0.01,0.02,0.22,0.03
5711149df2d2a,objTwoColors,#FF007F,4,167,509,5,0.75,0.35,0.11,0.06,0.02,0.1,0.25,0.26,0.32,0.26,0.26,0.52,0.52,0.37,0.53
57111f6c42412,objTwoColors,#FF007F,331,0,107,5,0.68,0.11,0.08,0.2,0.25,0.2,0.48,0.47,0.28,0.47,0.47,0.45,0.44,0.26,0.42
571128aba60e2,objTwoColors,#FF007F,344,0,130,3,0.78,0.14,0.08,0.22,0.28,0.23,0.38,0.37,0.19,0.37,0.37,0.55,0.54,0.34,0.52
57112a657ac25,objTwoColors,#FF007F,329,0,63,3,0.66,0.11,0.08,0.2,0.25,0.2,0.5,0.48,0.3,0.49,0.48,0.44,0.43,0.28,0.41
57112b9e10661,objTwoColors,#FF007F,17,302,235,2,0.89,0.08,0.07,0.14,0.19,0.12,0.08,0.09,0.25,0.09,0.09,0.67,0.66,0.48,0.66
57112cec29456,objTwoColors,#FF007F,3,223,70,5,1.04,0.24,0.08,0.08,0.16,0.09,0.21,0.23,0.4,0.23,0.23,0.81,0.81,0.63,0.81
57112d8509632,objTwoColors,#FF007F,350,229,180,2,1.04,0.26,0.09,0.09,0.2,0.12,0.24,0.26,0.43,0.26,0.26,0.81,0.8,0.63,0.8
