id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
5711cbde51bb0,24,Male,31,no,objTwoColors,#FF8000,351,59,125,4,Red      ,Green    ,0.22,0.14,0.17,0.08,0.1,0.08,0.59,0.56
5710ee9e58646,25,Female,32,yes,objTwoColors,#FF8000,4,55,311,5,Red      ,Green    ,0.22,0.12,0.16,0.08,0.1,0.09,0.59,0.55
5710d140b7c5a,26,Male,32,no,objTwoColors,#FF8000,5,54,229,3,Red      ,Green    ,0.22,0.12,0.16,0.08,0.11,0.1,0.59,0.55
573e4022949b1,24,Male,32,yes,objTwoColors,#FF7200,24,0,53,5,Red      ,Red      ,0.39,0.21,0.12,0.18,0.2,0.2,0.57,0.54
574297edae49c,24,Male,32,no,objTwoColors,#FF8000,3,51,36,4,Red      ,Green    ,0.23,0.13,0.16,0.09,0.12,0.11,0.59,0.55
5745500f6e643,24,Female,32,no,objTwoColors,#FF8000,4,55,114,5,Red      ,Green    ,0.22,0.12,0.16,0.08,0.1,0.09,0.59,0.55
57113e3362c9f,24,Male,6,no,objTwoColors,#FF8000,342,55,592,3,Red      ,Green    ,0.21,0.18,0.19,0.08,0.11,0.09,0.57,0.53
57111f6c42412,22,Male,34,no,objTwoColors,#FF8000,34,0,68,5,Yellow   ,Red      ,0.33,0.19,0.12,0.15,0.18,0.17,0.51,0.48
573a0b8280839,29,Male,21,yes,objTwoColors,#FF7200,52,42,44,3,Green    ,Yellow   ,0.14,0.02,0.17,0.02,0.01,0.02,0.35,0.31
57123bec83e8e,21,Male,32,no,objTwoColors,#FF8000,59,6,289,5,Green    ,Red      ,0.35,0.1,0.19,0.08,0.09,0.08,0.39,0.36
573678e895606,27,Male,2,no,objTwoColors,#FF8000,59,1,126,5,Green    ,Red      ,0.36,0.11,0.19,0.08,0.1,0.08,0.39,0.36
5735d3455a84c,29,Male,32,no,objTwoColors,#FF8000,48,353,95,4,Yellow   ,Red      ,0.3,0.17,0.16,0.1,0.13,0.12,0.42,0.39
57277ba3c5a5c,20,Male,8,no,objTwoColors,#FF8000,5,58,157,5,Red      ,Green    ,0.22,0.1,0.16,0.08,0.09,0.08,0.59,0.56
5738cf3d97a58,23,Male,32,no,objTwoColors,#FF8000,0,45,306,4,Red      ,Yellow   ,0.27,0.16,0.16,0.11,0.15,0.13,0.59,0.56
5734918f46823,26,Male,32,no,objTwoColors,#FF8000,58,14,44,4,Green    ,Red      ,0.33,0.08,0.19,0.07,0.07,0.07,0.37,0.34
571214121717c,22,Male,32,no,objTwoColors,#FF8000,60,2,85,5,Green    ,Red      ,0.37,0.11,0.2,0.08,0.09,0.08,0.39,0.35
572934019041e,20,Female,6,no,objTwoColors,#FF8000,18,48,264,5,Red      ,Yellow   ,0.21,0.09,0.13,0.08,0.09,0.1,0.53,0.5
573e47c26cb8e,24,Male,32,yes,objTwoColors,#FF7200,18,47,44,3,Red      ,Yellow   ,0.21,0.1,0.13,0.08,0.09,0.1,0.53,0.5
57113a5534205,22,Male,31,no,objTwoColors,#FF8000,4,54,123,5,Red      ,Green    ,0.22,0.12,0.16,0.08,0.11,0.1,0.59,0.55
572c85675a5ef,23,Male,32,yes,objTwoColors,#FF8000,8,173,80,3,Red      ,Blue     ,0.39,0.16,0.12,0.09,0.15,0.09,0.45,0.44
5710cd99df604,23,Female,32,no,objTwoColors,#FF8000,25,0,147,3,Red      ,Red      ,0.39,0.21,0.12,0.18,0.2,0.2,0.57,0.53
5756ae6897296,21,Male,32,yes,objTwoColors,#FF7200,58,44,140,4,Green    ,Yellow   ,0.15,0.02,0.19,0.01,0.02,0.01,0.32,0.29
5710d71ff24c3,20,Female,32,no,objTwoColors,#FF8000,57,2,105,5,Green    ,Red      ,0.35,0.12,0.19,0.08,0.1,0.09,0.4,0.36
57459c393bbd0,29,Male,31,no,objTwoColors,#FF8000,55,3,112,4,Green    ,Red      ,0.35,0.12,0.18,0.08,0.11,0.09,0.4,0.37
5711231e370f2,24,Male,32,yes,objTwoColors,#FF8000,0,38,306,4,Red      ,Yellow   ,0.31,0.18,0.16,0.13,0.17,0.15,0.59,0.56
57113de4aed1a,21,Male,31,no,objTwoColors,#FF8000,3,49,100,4,Red      ,Yellow   ,0.24,0.14,0.16,0.09,0.13,0.11,0.59,0.55
5756ab1701ba0,21,Male,32,yes,objTwoColors,#FF7200,0,20,39,4,Red      ,Red      ,0.42,0.22,0.16,0.19,0.21,0.21,0.63,0.59
572baa7f9493c,20,Female,10,no,objTwoColors,#FF8000,0,44,31,3,Red      ,Yellow   ,0.27,0.16,0.16,0.11,0.15,0.13,0.59,0.56
5711641931da5,20,Female,32,no,objTwoColors,#FF8000,53,5,118,5,Green    ,Red      ,0.33,0.12,0.17,0.08,0.11,0.1,0.41,0.38
5712c57f97f25,25,Female,31,no,objTwoColors,#FF8000,5,53,69,5,Red      ,Green    ,0.23,0.12,0.16,0.08,0.11,0.1,0.59,0.55
5756b2d9bd658,23,Female,32,yes,objTwoColors,#FF7200,2,59,132,5,Red      ,Green    ,0.22,0.11,0.16,0.08,0.1,0.08,0.59,0.56
571103343658b,20,Female,32,no,objTwoColors,#FF8000,32,32,77,5,Yellow   ,Yellow   ,0.2,0.1,0.11,0.09,0.1,0.11,0.46,0.43
57112f57403ee,25,Female,14,no,objTwoColors,#FF8000,46,8,152,4,Yellow   ,Red      ,0.29,0.13,0.15,0.1,0.12,0.12,0.43,0.4
57451c3b38192,23,Female,32,no,objTwoColors,#FF8000,0,30,50,5,Red      ,Yellow   ,0.36,0.2,0.16,0.16,0.19,0.18,0.6,0.57
571151812791a,20,Male,32,yes,objTwoColors,#FF8000,2,57,247,3,Red      ,Green    ,0.22,0.12,0.16,0.08,0.1,0.09,0.59,0.56
571260c120253,22,Male,32,no,objTwoColors,#FF8000,9,59,60,2,Red      ,Green    ,0.21,0.09,0.15,0.07,0.08,0.08,0.58,0.55
57122801e1da9,23,Male,17,no,objTwoColors,#FF8000,57,15,106,5,Green    ,Red      ,0.31,0.08,0.19,0.06,0.07,0.08,0.38,0.34
5713a02a13044,24,Female,32,yes,objTwoColors,#FF8000,56,354,183,4,Green    ,Red      ,0.34,0.14,0.18,0.08,0.11,0.09,0.39,0.36
57113b7f16c4b,22,Male,31,no,objTwoColors,#FF8000,4,67,473,4,Red      ,Green    ,0.23,0.08,0.16,0.07,0.08,0.07,0.6,0.57
5712bd55a8a13,27,Female,32,no,objTwoColors,#FF8000,7,59,172,3,Red      ,Green    ,0.22,0.09,0.16,0.07,0.08,0.08,0.59,0.56
57119224388ef,24,Male,31,no,objTwoColors,#FF8000,59,357,0,5,Green    ,Red      ,0.36,0.12,0.19,0.08,0.1,0.08,0.39,0.36
5710e60f69205,24,Female,31,no,objTwoColors,#FF8000,11,53,297,4,Red      ,Green    ,0.22,0.1,0.15,0.08,0.09,0.09,0.57,0.53
5710ce6c1308c,23,Female,32,no,objTwoColors,#FF8000,5,53,120,4,Red      ,Green    ,0.23,0.12,0.16,0.08,0.11,0.1,0.59,0.55
5711300507308",21,Female,13,no,objTwoColors,#FF8000,4,59,275,3,Red      ,Green    ,0.22,0.1,0.16,0.08,0.09,0.08,0.59,0.56
5710cc5a7829c,27,Male,32,no,objTwoColors,#FF8000,59,1,193,4,Green    ,Red      ,0.36,0.11,0.19,0.08,0.1,0.08,0.39,0.36
5712d16eb8094,22,Male,5,no,objTwoColors,#FF8000,8,0,176,5,Red      ,Red      ,0.46,0.23,0.16,0.21,0.23,0.24,0.64,0.61
5711149df2d2a,20,Male,7,no,objTwoColors,#FF8000,101,54,216,5,Green    ,Green    ,0.25,0.11,0.3,0.05,0.14,0.09,0.39,0.34
57123e4050550,20,Female,40,no,objTwoColors,#FF8000,4,58,281,4,Red      ,Green    ,0.22,0.11,0.16,0.08,0.09,0.09,0.59,0.56
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#FF8000,1,56,65,4,Red      ,Green    ,0.23,0.12,0.16,0.08,0.11,0.09,0.6,0.57
573ec4275ba17,24,Female,32,yes,objTwoColors,#FF7200,7,56,82,3,Red      ,Green    ,0.22,0.1,0.16,0.08,0.09,0.09,0.59,0.56
57582b17cd76a,26,Male,32,yes,objTwoColors,#FF8000,15,57,54,4,Red      ,Green    ,0.19,0.08,0.14,0.06,0.07,0.08,0.56,0.53
57113e6176346,23,Female,30,no,objTwoColors,#FF8000,4,58,257,5,Red      ,Green    ,0.22,0.11,0.16,0.08,0.09,0.09,0.59,0.56
5712c2b021f58,22,Female,32,no,objTwoColors,#FF8000,57,9,48,5,Green    ,Red      ,0.33,0.09,0.19,0.07,0.09,0.08,0.39,0.35
572106a31c230,24,Male,16,no,objTwoColors,#FF8000,5,53,117,3,Red      ,Green    ,0.23,0.12,0.16,0.08,0.11,0.1,0.59,0.55
5713fc80c942a,23,Female,32,no,objTwoColors,#FF8000,58,1,50,5,Green    ,Red      ,0.36,0.12,0.19,0.08,0.1,0.09,0.39,0.36
5710d8ca226a2,21,Male,4,no,objTwoColors,#FF8000,0,40,86,4,Red      ,Yellow   ,0.3,0.17,0.16,0.12,0.16,0.15,0.59,0.56
57121e2a63601,21,Male,31,no,objTwoColors,#FF8000,0,0,0,1,Red      ,Red      ,0.48,0.23,0.17,0.22,0.23,0.25,0.66,0.63
57581518c2c07,25,Male,32,yes,objTwoColors,#FF8000,58,350,303,4,Green    ,Red      ,0.35,0.15,0.19,0.08,0.1,0.08,0.37,0.34
