id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
5710cd99df604,23,Female,32,no,objTwoColors,#FF8000,25,0,147,3,Red,Red,0.39,0.21,0.12,0.18,0.2,0.2,0.57,0.53
5710ce6c1308c,23,Female,32,no,objTwoColors,#FF8000,5,53,120,4,Red,Green,0.23,0.12,0.16,0.08,0.11,0.1,0.59,0.55
5710d71ff24c3,20,Female,32,no,objTwoColors,#FF8000,57,2,105,5,Green,Red,0.35,0.12,0.19,0.08,0.1,0.09,0.4,0.36
5710e540a9514,52,Female,32,no,objTwoColors,#FF8000,10,56,44,4,Red,Green,0.21,0.09,0.15,0.07,0.09,0.09,0.58,0.55
5710e60f69205,24,Female,31,no,objTwoColors,#FF8000,11,53,297,4,Red,Green,0.22,0.1,0.15,0.08,0.09,0.09,0.57,0.53
5710ee9e58646,25,Female,32,yes,objTwoColors,#FF8000,4,55,311,5,Red,Green,0.22,0.12,0.16,0.08,0.1,0.09,0.59,0.55
57110028bc74b,48,Female,32,no,objTwoColors,#FF8000,0,45,48,5,Red,Yellow,0.27,0.16,0.16,0.11,0.15,0.13,0.59,0.56
571103343658b,20,Female,32,no,objTwoColors,#FF8000,32,32,77,5,Yellow,Yellow,0.2,0.1,0.11,0.09,0.1,0.11,0.46,0.43
57112b9e10661,64,Female,34,no,objTwoColors,#FF8000,51,19,163,2,Green,Red,0.27,0.08,0.17,0.07,0.08,0.09,0.39,0.36
57112d8509632,45,Female,32,no,objTwoColors,#FF8000,357,55,176,5,Red,Green,0.23,0.14,0.17,0.08,0.11,0.1,0.59,0.55
57112da850667,22,Female,47,no,objTwoColors,#FF8000,8,55,281,5,Red,Green,0.21,0.1,0.16,0.08,0.09,0.09,0.58,0.54
57112ebc85ba1,18,Female,32,no,objTwoColors,#FF8000,334,58,80,5,Magenta,Green,0.21,0.19,0.2,0.09,0.1,0.09,0.56,0.53
57112f57403ee,25,Female,14,no,objTwoColors,#FF8000,46,8,152,4,Yellow,Red,0.29,0.13,0.15,0.1,0.12,0.12,0.43,0.4
5711300507308,21,Female,13,no,objTwoColors,#FF8000,4,59,275,3,Red,Green,0.22,0.1,0.16,0.08,0.09,0.08,0.59,0.56
571130c5cd6e9,24,Female,32,no,objTwoColors,#FF8000,25,0,294,5,Red,Red,0.39,0.21,0.12,0.18,0.2,0.2,0.57,0.53
571130d934bda,22,Female,32,no,objTwoColors,#FF8000,9,56,140,4,Red,Green,0.21,0.1,0.15,0.07,0.09,0.09,0.58,0.55
5711348e42f02,19,Female,32,no,objTwoColors,#FF8000,356,65,225,4,Red,Green,0.23,0.11,0.17,0.07,0.09,0.07,0.6,0.57
5711389736065,19,Female,8,no,objTwoColors,#FF8000,353,60,462,5,Red,Green,0.22,0.13,0.17,0.08,0.1,0.08,0.59,0.56
57113d4d93c81,18,Female,32,no,objTwoColors,#FF8000,1,58,68,4,Red,Green,0.23,0.12,0.16,0.08,0.1,0.09,0.6,0.57
57113e6176346,23,Female,30,no,objTwoColors,#FF8000,4,58,257,5,Red,Green,0.22,0.11,0.16,0.08,0.09,0.09,0.59,0.56
571154184c9bd,47,Female,32,no,objTwoColors,#FF8000,17,0,8,5,Red,Red,0.43,0.22,0.14,0.19,0.22,0.22,0.61,0.58
571163013744e,53,Female,13,no,objTwoColors,#FF8000,342,55,238,5,Red,Green,0.21,0.18,0.19,0.08,0.11,0.09,0.57,0.53
5711641931da5,20,Female,32,no,objTwoColors,#FF8000,53,5,118,5,Green,Red,0.33,0.12,0.17,0.08,0.11,0.1,0.41,0.38
571165992a5c1,67,Female,32,no,objTwoColors,#FF8000,21,69,155,2,Red,Green,0.18,0.03,0.12,0.05,0.02,0.04,0.55,0.51
5711703bd85fc,18,Female,32,no,objTwoColors,#FF8000,7,57,67,5,Red,Green,0.22,0.1,0.16,0.07,0.09,0.09,0.59,0.56
57117fe7495aa,48,Female,5,no,objTwoColors,#FF8000,0,40,54,5,Red,Yellow,0.3,0.17,0.16,0.12,0.16,0.15,0.59,0.56
5711800f2c5f3,59,Female,31,no,objTwoColors,#FF8000,6,53,324,4,Red,Green,0.23,0.12,0.16,0.08,0.11,0.1,0.59,0.55
571183866d73f,48,Female,32,no,objTwoColors,#FF8000,55,3,69,5,Green,Red,0.35,0.12,0.18,0.08,0.11,0.09,0.4,0.37
5712197fbccd5,24,Female,32,no,objTwoColors,#FF8000,0,48,27,4,Red,Yellow,0.26,0.15,0.16,0.1,0.14,0.12,0.59,0.56
57123e4050550,20,Female,40,no,objTwoColors,#FF8000,0,48,402,3,Red,Yellow,0.26,0.15,0.16,0.1,0.14,0.12,0.59,0.56
57123e4050550,20,Female,40,no,objTwoColors,#FF8000,4,58,281,4,Red,Green,0.22,0.11,0.16,0.08,0.09,0.09,0.59,0.56
571252e6d2e70,31,Female,32,no,objTwoColors,#FF8000,56,7,86,5,Green,Red,0.34,0.1,0.18,0.08,0.09,0.09,0.39,0.36
57127bcfaafb0,22,Female,32,no,objTwoColors,#FF8000,9,52,81,5,Red,Green,0.22,0.11,0.15,0.08,0.1,0.1,0.58,0.54
571289ef76e18,55,Female,31,no,objTwoColors,#FF8000,52,352,159,5,Green,Red,0.32,0.16,0.17,0.09,0.12,0.1,0.4,0.36
5712bd55a8a13,27,Female,32,no,objTwoColors,#FF8000,7,59,172,3,Red,Green,0.22,0.09,0.16,0.07,0.08,0.08,0.59,0.56
5712c2b021f58,22,Female,32,no,objTwoColors,#FF8000,57,9,48,5,Green,Red,0.33,0.09,0.19,0.07,0.09,0.08,0.39,0.35
5712c57f97f25,25,Female,31,no,objTwoColors,#FF8000,5,53,69,5,Red,Green,0.23,0.12,0.16,0.08,0.11,0.1,0.59,0.55
5713923c1bbc7,24,Female,27,no,objTwoColors,#FF8000,56,12,196,2,Green,Red,0.32,0.09,0.18,0.07,0.08,0.08,0.39,0.35
5713a02a13044,24,Female,32,yes,objTwoColors,#FF8000,56,354,183,4,Green,Red,0.34,0.14,0.18,0.08,0.11,0.09,0.39,0.36
5713fc80c942a,23,Female,32,no,objTwoColors,#FF8000,58,1,50,5,Green,Red,0.36,0.12,0.19,0.08,0.1,0.09,0.39,0.36
57149713464b1,51,Female,32,no,objTwoColors,#FF8000,0,0,0,1,Red,Red,0.48,0.23,0.17,0.22,0.23,0.25,0.66,0.63
57153d9a56ce0,62,Female,9,no,objTwoColors,#FF8000,0,29,14,5,Red,Yellow,0.36,0.2,0.16,0.16,0.19,0.18,0.61,0.57
57153eb9b4bed,35,Female,31,no,objTwoColors,#FF8000,0,349,109,5,Red,Red,0.47,0.23,0.16,0.21,0.23,0.24,0.63,0.6
5716e9900f6ea,58,Female,31,no,objTwoColors,#FF8000,52,354,508,3,Green,Red,0.32,0.16,0.17,0.09,0.12,0.1,0.41,0.37
572934019041e,20,Female,6,no,objTwoColors,#FF8000,18,48,264,5,Red,Yellow,0.21,0.09,0.13,0.08,0.09,0.1,0.53,0.5
572baa7f9493c,20,Female,10,no,objTwoColors,#FF8000,0,44,31,3,Red,Yellow,0.27,0.16,0.16,0.11,0.15,0.13,0.59,0.56
5734d89183dab,19,Female,29,no,objTwoColors,#FF8000,48,18,59,4,Yellow,Red,0.26,0.09,0.16,0.08,0.09,0.1,0.4,0.37
5739ff85289b2,56,Female,25,yes,objTwoColors,#FF7200,168,52,531,1,Blue,Green,0.28,0.2,0.2,0.07,0.13,0.09,0.44,0.41
573a059da0efd,31,Female,32,yes,objTwoColors,#FF7200,136,221,574,3,Green,Blue,0.68,0.25,0.34,0.22,0.23,0.24,0.32,0.35
573c783748e8b,37,Female,32,yes,objTwoColors,#FF7200,353,57,132,4,Red,Green,0.22,0.14,0.17,0.08,0.11,0.09,0.59,0.56
573ec4275ba17,24,Female,32,yes,objTwoColors,#FF7200,7,56,82,3,Red,Green,0.22,0.1,0.16,0.08,0.09,0.09,0.59,0.56
5740a8b59d448,31,Female,32,yes,objTwoColors,#FF7200,3,57,60,5,Red,Green,0.22,0.11,0.16,0.08,0.1,0.09,0.59,0.56
5740bda9be3dc,83,Female,32,yes,objTwoColors,#FF7200,1,57,42,5,Red,Green,0.23,0.12,0.16,0.08,0.1,0.09,0.6,0.57
5740e3f36a945,49,Female,32,yes,objTwoColors,#FF7200,29,0,30,3,Yellow,Red,0.36,0.2,0.11,0.16,0.19,0.18,0.54,0.51
57427cf6bad0c,19,Female,32,no,objTwoColors,#FF8000,45,23,27,2,Yellow,Red,0.22,0.09,0.14,0.08,0.08,0.09,0.41,0.38
574511e99b6d9,19,Female,32,no,objTwoColors,#FF8000,355,58,367,4,Red,Green,0.22,0.13,0.17,0.08,0.1,0.09,0.59,0.56
57451c3b38192,23,Female,32,no,objTwoColors,#FF8000,0,30,50,5,Red,Yellow,0.36,0.2,0.16,0.16,0.19,0.18,0.6,0.57
5745350dc1e22,19,Female,31,no,objTwoColors,#FF8000,10,53,52,5,Red,Green,0.22,0.1,0.15,0.08,0.1,0.09,0.58,0.54
5745500f6e643,24,Female,32,no,objTwoColors,#FF8000,4,55,114,5,Red,Green,0.22,0.12,0.16,0.08,0.1,0.09,0.59,0.55
5745b5cbe3caa,34,Female,32,no,objTwoColors,#FF8000,16,65,174,3,Red,Green,0.2,0.05,0.14,0.06,0.05,0.06,0.56,0.53
5756b2d9bd658,23,Female,32,yes,objTwoColors,#FF7200,2,59,132,5,Red,Green,0.22,0.11,0.16,0.08,0.1,0.08,0.59,0.56
5776cc574bf84,45,Female,21,no,objTwoColors,#FF8000,10,57,65,5,Red,Green,0.21,0.09,0.15,0.07,0.08,0.08,0.58,0.55
