id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
5710ee9e58646,objTwoColors,#FF8000,4,55,311,5,Red      ,Green    ,0.22,0.12,0.16,0.08,0.1,0.09,0.59,0.55
571151812791a,objTwoColors,#FF8000,2,57,247,3,Red      ,Green    ,0.22,0.12,0.16,0.08,0.1,0.09,0.59,0.56
5713a02a13044,objTwoColors,#FF8000,56,354,183,4,Green    ,Red      ,0.34,0.14,0.18,0.08,0.11,0.09,0.39,0.36
572767049ccfa,objTwoColors,#FF8000,9,58,71,4,Red      ,Green    ,0.21,0.09,0.15,0.07,0.08,0.08,0.58,0.55
572c85675a5ef,objTwoColors,#FF8000,8,173,80,3,Red      ,Blue     ,0.39,0.16,0.12,0.09,0.15,0.09,0.45,0.44
5739ff85289b2,objTwoColors,#FF8000,168,52,531,1,Blue     ,Green    ,0.28,0.2,0.2,0.07,0.13,0.09,0.44,0.41
573a059da0efd,objTwoColors,#FF8000,136,221,574,3,Green    ,Blue     ,0.68,0.25,0.34,0.22,0.23,0.24,0.32,0.35
573a0b8280839,objTwoColors,#FF8000,52,42,44,3,Green    ,Yellow   ,0.14,0.02,0.17,0.02,0.01,0.02,0.35,0.31
573c70dabcfe0,objTwoColors,#FF8000,56,92,116,2,Green    ,Green    ,0.19,0.1,0.18,0.05,0.11,0.08,0.39,0.37
573c783748e8b,objTwoColors,#FF8000,353,57,132,4,Red      ,Green    ,0.22,0.14,0.17,0.08,0.11,0.09,0.59,0.56
573e47c26cb8e,objTwoColors,#FF8000,18,47,44,3,Red      ,Yellow   ,0.21,0.1,0.13,0.08,0.09,0.1,0.53,0.5
573edae85268b,objTwoColors,#FF8000,2,44,103,4,Red      ,Yellow   ,0.26,0.16,0.16,0.11,0.14,0.13,0.58,0.55
5740a8b59d448,objTwoColors,#FF8000,3,57,60,5,Red      ,Green    ,0.22,0.11,0.16,0.08,0.1,0.09,0.59,0.56
5740b686127bb,objTwoColors,#FF8000,3,52,192,5,Red      ,Green    ,0.23,0.13,0.16,0.09,0.12,0.1,0.59,0.55
5740bda9be3dc,objTwoColors,#FF8000,1,57,42,5,Red      ,Green    ,0.23,0.12,0.16,0.08,0.1,0.09,0.6,0.57
574859b8f3379,objTwoColors,#FF8000,8,59,78,5,Red      ,Green    ,0.21,0.09,0.16,0.07,0.08,0.08,0.58,0.55
5756ae6897296,objTwoColors,#FF8000,58,44,140,4,Green    ,Yellow   ,0.15,0.02,0.19,0.01,0.02,0.01,0.32,0.29
5756b2d9bd658,objTwoColors,#FF8000,2,59,132,5,Red      ,Green    ,0.22,0.11,0.16,0.08,0.1,0.08,0.59,0.56
5757fd2703090,objTwoColors,#FF8000,6,59,60,5,Red      ,Green    ,0.22,0.1,0.16,0.08,0.09,0.08,0.59,0.56
5757ffca0b4b1,objTwoColors,#FF8000,1,56,65,4,Red      ,Green    ,0.23,0.12,0.16,0.08,0.11,0.09,0.6,0.57
57581518c2c07,objTwoColors,#FF8000,58,350,303,4,Green    ,Red      ,0.35,0.15,0.19,0.08,0.1,0.08,0.37,0.34
57582b17cd76a,objTwoColors,#FF8000,15,57,54,4,Red      ,Green    ,0.19,0.08,0.14,0.06,0.07,0.08,0.56,0.53
