id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
5710cbe10cade,objTwoColors,#FF8000,35,23,91,5,Yellow,Red,0.24,0.12,0.12,0.11,0.11,0.13,0.46,0.43
5710cc5a7829c,objTwoColors,#FF8000,59,1,193,4,Green,Red,0.36,0.11,0.19,0.08,0.1,0.08,0.39,0.36
5710ce6c1308c,objTwoColors,#FF8000,5,53,120,4,Red,Green,0.23,0.12,0.16,0.08,0.11,0.1,0.59,0.55
5710cf445718e,objTwoColors,#FF8000,47,176,329,3,Yellow,Blue,0.25,0.2,0.15,0.07,0.13,0.1,0.23,0.22
5710d140b7c5a,objTwoColors,#FF8000,5,54,229,3,Red,Green,0.22,0.12,0.16,0.08,0.11,0.1,0.59,0.55
5710d71ff24c3,objTwoColors,#FF8000,57,2,105,5,Green,Red,0.35,0.12,0.19,0.08,0.1,0.09,0.4,0.36
5710e540a9514,objTwoColors,#FF8000,10,56,44,4,Red,Green,0.21,0.09,0.15,0.07,0.09,0.09,0.58,0.55
5710e60f69205,objTwoColors,#FF8000,11,53,297,4,Red,Green,0.22,0.1,0.15,0.08,0.09,0.09,0.57,0.53
571103343658b,objTwoColors,#FF8000,32,32,77,5,Yellow,Yellow,0.2,0.1,0.11,0.09,0.1,0.11,0.46,0.43
5711106ab212a,objTwoColors,#FF8000,4,58,75,4,Red,Green,0.22,0.11,0.16,0.08,0.09,0.09,0.59,0.56
5711148c11035,objTwoColors,#FF8000,302,56,109,2,Pink,Green,0.35,0.23,0.28,0.1,0.15,0.15,0.62,0.6
5711149df2d2a,objTwoColors,#FF8000,101,54,216,5,Green,Green,0.25,0.11,0.3,0.05,0.14,0.09,0.39,0.34
57112b9e10661,objTwoColors,#FF8000,51,19,163,2,Green,Red,0.27,0.08,0.17,0.07,0.08,0.09,0.39,0.36
57112d8509632,objTwoColors,#FF8000,357,55,176,5,Red,Green,0.23,0.14,0.17,0.08,0.11,0.1,0.59,0.55
57112da850667,objTwoColors,#FF8000,8,55,281,5,Red,Green,0.21,0.1,0.16,0.08,0.09,0.09,0.58,0.54
57112e1a2bbbb,objTwoColors,#FF8000,21,106,364,1,Red,Green,0.28,0.06,0.12,0.03,0.09,0.02,0.6,0.58
57112ebc85ba1,objTwoColors,#FF8000,334,58,80,5,Magenta,Green,0.21,0.19,0.2,0.09,0.1,0.09,0.56,0.53
57112edad4a17,objTwoColors,#FF8000,7,59,44,5,Red,Green,0.22,0.09,0.16,0.07,0.08,0.08,0.59,0.56
57112f57403ee,objTwoColors,#FF8000,46,8,152,4,Yellow,Red,0.29,0.13,0.15,0.1,0.12,0.12,0.43,0.4
571130d934bda,objTwoColors,#FF8000,9,56,140,4,Red,Green,0.21,0.1,0.15,0.07,0.09,0.09,0.58,0.55
5711348e42f02,objTwoColors,#FF8000,356,65,225,4,Red,Green,0.23,0.11,0.17,0.07,0.09,0.07,0.6,0.57
5711389736065,objTwoColors,#FF8000,4,59,275,3,Red,Green,0.22,0.1,0.16,0.08,0.09,0.08,0.59,0.56
5711389736065,objTwoColors,#FF8000,353,60,462,5,Red,Green,0.22,0.13,0.17,0.08,0.1,0.08,0.59,0.56
57113a4121a89,objTwoColors,#FF8000,355,54,241,4,Red,Green,0.22,0.15,0.17,0.08,0.12,0.1,0.59,0.55
