id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#FF0000,7,10,82,5,0.58,0.01,0.1,0.13,0.14,0.2
5710cbe10cade,21,Male,15,no,objTwoColors,#FF0000,3,12,46,5,0.57,0.01,0.1,0.13,0.14,0.2
5710cc2b8a642,24,Male,16,no,objTwoColors,#FF0000,11,3,56,2,0.6,0.01,0.1,0.14,0.14,0.2
5710cc5a7829c,27,Male,32,no,objTwoColors,#FF0000,1,0,7,5,0.61,0,0.1,0.15,0.15,0.21
5710cd9d571f2,23,Male,8,no,objTwoColors,#FF0000,152,214,75,1,0.78,0.42,0.09,0.2,0.25,0.2
5710cf445718e,25,Male,32,no,objTwoColors,#FF0000,234,133,491,3,0.38,0.42,0.13,0.21,0.26,0.18
5710d140b7c5a,26,Male,32,no,objTwoColors,#FF0000,10,0,141,3,0.6,0.01,0.1,0.14,0.15,0.2
5710d28fec2d1,30,Male,32,no,objTwoColors,#FF0000,0,6,83,1,0.6,0,0.11,0.14,0.15,0.21
5711106ab212a,33,Male,32,no,objTwoColors,#FF0000,35,221,85,1,0.78,0.32,0.1,0.09,0.17,0.09
5711148c11035,35,Male,22,no,objTwoColors,#FF0000,317,59,45,2,0.06,0.01,0.09,0.04,0.02,0.02
57111f6c42412,22,Male,34,no,objTwoColors,#FF0000,355,0,231,5,0.6,0,0.11,0.15,0.15,0.21
5711231e370f2,24,Male,32,yes,objTwoColors,#FF0000,0,15,392,4,0.57,0.01,0.1,0.13,0.14,0.19
57112cb820ea5,18,Male,2,no,objTwoColors,#FF0000,3,8,354,5,0.59,0.01,0.11,0.14,0.15,0.2
57112edad4a17,23,Male,10,no,objTwoColors,#FF0000,12,0,492,4,0.6,0.01,0.1,0.14,0.15,0.2
57112f7103d57,21,Male,3,no,objTwoColors,#FF0000,3,3,865,5,0.6,0,0.09,0.14,0.15,0.21
57113664403aa,19,Male,2,no,objTwoColors,#FF0000,1,0,232,4,0.61,0,0.1,0.15,0.15,0.21
57113a5534205,22,Male,31,no,objTwoColors,#FF0000,7,10,180,5,0.58,0.01,0.1,0.13,0.14,0.2
57113b7f16c4b,22,Male,31,no,objTwoColors,#FF0000,351,350,212,1,0.58,0.02,0.1,0.14,0.14,0.19
57113de4aed1a,21,Male,31,no,objTwoColors,#FF0000,21,45,46,4,0.38,0.14,0.09,0.06,0.08,0.12
571151812791a,20,Male,32,yes,objTwoColors,#FF0000,349,9,430,1,0.56,0,0.1,0.14,0.14,0.19
571153ca15566,32,Male,32,no,objTwoColors,#FF0000,45,0,397,1,0.59,0.08,0.09,0.06,0.09,0.13
571158157bb3c,20,Male,4,no,objTwoColors,#FF0000,242,282,646,4,0.66,0.53,0.22,0.25,0.4,0.35
57116b9b879bf,20,Male,32,no,objTwoColors,#FF0000,343,358,4,3,0.55,0.02,0.1,0.13,0.13,0.19
5711ace2ee7ed,24,Male,32,no,objTwoColors,#FF0000,0,311,72,5,0.65,0.12,0.11,0.1,0.09,0.13
5711cbde51bb0,24,Male,31,no,objTwoColors,#FF0000,350,0,207,3,0.58,0.01,0.1,0.14,0.15,0.2
571214121717c,22,Male,32,no,objTwoColors,#FF0000,56,0,947,1,0.61,0.11,0.09,0.05,0.08,0.12
57121e2a63601,21,Male,31,no,objTwoColors,#FF0000,0,0,0,1,0.61,0,0.1,0.15,0.15,0.21
57122801e1da9,23,Male,17,no,objTwoColors,#FF0000,330,165,291,1,0.36,0.56,0.09,0.1,0.21,0.08
57122f7e5768f,23,Male,4,no,objTwoColors,#FF0000,4,0,387,5,0.6,0,0.1,0.14,0.15,0.21
57123bec83e8e,21,Male,32,no,objTwoColors,#FF0000,356,357,807,5,0.6,0,0.11,0.14,0.15,0.21
571247f66fb51,27,Male,32,no,objTwoColors,#FF0000,3,8,54,5,0.59,0.01,0.11,0.14,0.15,0.2
571260c120253,22,Male,32,no,objTwoColors,#FF0000,3,0,38,4,0.6,0,0.1,0.14,0.15,0.21
5713b10383207,40,Male,32,no,objTwoColors,#FF0000,288,57,661,2,0.11,0.01,0.09,0.08,0.07,0.05
5713b961c216a,647,Male,11,no,objTwoColors,#FF0000,2,10,40,5,0.59,0.01,0.11,0.14,0.15,0.2
57190633f233f,30,Male,32,no,objTwoColors,#FF0000,7,0,109,1,0.6,0,0.11,0.14,0.15,0.21
572106a31c230,24,Male,16,no,objTwoColors,#FF0000,121,52,305,3,0.46,0.38,0.09,0.13,0.25,0.2
572767049ccfa,24,Male,32,yes,objTwoColors,#FF0000,317,59,134,3,0.06,0.01,0.09,0.04,0.02,0.02
572c85675a5ef,23,Male,32,yes,objTwoColors,#FF0000,3,4,6,5,0.59,0,0.09,0.14,0.15,0.21
5734918f46823,26,Male,32,no,objTwoColors,#FF0000,0,4,3,4,0.6,0,0.1,0.14,0.15,0.21
5734aa4c927a8,22,Male,15,no,objTwoColors,#FF0000,3,50,145,2,0.36,0.1,0.09,0.06,0.08,0.12
5735d3455a84c,29,Male,32,no,objTwoColors,#FF0000,7,7,18,5,0.59,0.01,0.09,0.14,0.14,0.2
5736048bb110b,19,Male,32,no,objTwoColors,#FF0000,5,3,164,5,0.6,0,0.09,0.14,0.15,0.21
573607add000c,38,Male,5,no,objTwoColors,#FF0000,3,349,304,5,0.59,0.01,0.1,0.14,0.14,0.2
573634984323e,19,Male,32,no,objTwoColors,#FF0000,4,5,57,5,0.59,0.01,0.09,0.14,0.15,0.21
573664e1a4a96,49,Male,18,no,objTwoColors,#FF0000,314,49,67,3,0.09,0,0.09,0.02,0.03,0.03
57366c199283c,19,Male,32,no,objTwoColors,#FF0000,123,53,123,3,0.46,0.38,0.09,0.13,0.25,0.2
5738cf3d97a58,23,Male,32,no,objTwoColors,#FF0000,8,6,53,5,0.59,0.01,0.11,0.14,0.14,0.2
573c70dabcfe0,49,Male,32,yes,objTwoColors,#FF0000,56,245,508,4,0.85,0.16,0.11,0.12,0.18,0.1
573e4022949b1,24,Male,32,yes,objTwoColors,#FF0000,2,0,53,5,0.61,0,0.1,0.14,0.15,0.21
573e47c26cb8e,24,Male,32,yes,objTwoColors,#FF0000,67,295,329,2,0.73,0,0.09,0.08,0.07,0.05
573e4d0eb795b,24,Male,32,yes,objTwoColors,#FF0000,5,0,21,4,0.6,0,0.11,0.14,0.15,0.21
573edae85268b,27,Male,32,yes,objTwoColors,#FF0000,3,0,1064,4,0.6,0,0.1,0.14,0.15,0.21
5740ad339507d,40,Male,32,yes,objTwoColors,#FF0000,275,54,584,2,0.18,0.05,0.1,0.09,0.1,0.07
5740b0f8e9734,62,Male,33,yes,objTwoColors,#FF0000,5,0,46,5,0.6,0,0.11,0.14,0.15,0.21
5740b686127bb,32,Male,32,yes,objTwoColors,#FF0000,23,11,24,3,0.56,0.05,0.09,0.11,0.12,0.17
574297edae49c,24,Male,32,no,objTwoColors,#FF0000,7,7,36,5,0.59,0.01,0.09,0.14,0.14,0.2
5744dce84ffa5,16,Male,13,no,objTwoColors,#FF0000,5,10,50,4,0.58,0.01,0.1,0.14,0.14,0.2
57459c393bbd0,29,Male,31,no,objTwoColors,#FF0000,9,3,154,4,0.6,0.01,0.1,0.14,0.15,0.2
5745f6f039dc9,15,Male,33,no,objTwoColors,#FF0000,0,0,0,3,0.61,0,0.1,0.15,0.15,0.21
574859b8f3379,30,Male,32,yes,objTwoColors,#FF0000,1,0,552,1,0.61,0,0.1,0.15,0.15,0.21
