id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57112e639a100,18,Male,5,no,objTwoColors,#00FF80,193,59,320,4,0.57,0.1,0.24,0.09,0.07,0.09
57112ebc85ba1,18,Female,32,no,objTwoColors,#00FF80,187,52,143,5,0.54,0.11,0.23,0.12,0.07,0.09
5711348e42f02,19,Female,32,no,objTwoColors,#00FF80,232,120,154,4,0.78,0.16,0.38,0.05,0.19,0.18
57113d4d93c81,18,Female,32,no,objTwoColors,#00FF80,189,59,224,4,0.54,0.1,0.24,0.1,0.06,0.08
5711703bd85fc,18,Female,32,no,objTwoColors,#00FF80,215,63,281,3,0.7,0.06,0.3,0.09,0.12,0.15
57121540dbb98,18,Male,7,no,objTwoColors,#00FF80,152,153,113,5,0.22,0.02,0.25,0.07,0.04,0.02
57127cb3ab1fe,1,Male,12,no,objTwoColors,#00FF80,59,181,482,3,0.18,0.11,0.23,0.11,0.05,0.07
5734d89183dab,19,Female,29,no,objTwoColors,#00FF80,106,187,178,4,0.09,0.03,0.26,0.04,0.04,0.05
5736048bb110b,19,Male,32,no,objTwoColors,#00FF80,157,150,174,5,0.28,0.02,0.25,0.07,0.05,0.03
573634984323e,19,Male,32,no,objTwoColors,#00FF80,181,52,278,3,0.51,0.11,0.23,0.13,0.06,0.08
57366c199283c,19,Male,32,no,objTwoColors,#00FF80,130,122,281,4,0.26,0.1,0.3,0.12,0.06,0.1
57427cf6bad0c,19,Female,32,no,objTwoColors,#00FF80,0,0,0,4,0.8,0.39,0.38,0.36,0.39,0.38
5744dce84ffa5,16,Male,13,no,objTwoColors,#00FF80,57,180,196,3,0.19,0.11,0.23,0.12,0.05,0.07
574511e99b6d9,19,Female,32,no,objTwoColors,#00FF80,193,53,145,4,0.58,0.1,0.24,0.1,0.08,0.11
5745350dc1e22,19,Female,31,no,objTwoColors,#00FF80,193,57,121,3,0.57,0.1,0.24,0.09,0.07,0.1
5745c1c07cc0c,18,Other,31,no,objTwoColors,#00FF80,138,157,228,4,0.14,0.03,0.26,0.08,0.02,0.03
5745f6f039dc9,15,Male,33,no,objTwoColors,#00FF80,0,0,0,5,0.8,0.39,0.38,0.36,0.39,0.38
