id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57110028bc74b,48,Female,32,no,objTwoColors,#00FF80,0,141,516,2,0.6,0.11,0.31,0.19,0.11,0.15
57112d8509632,45,Female,32,no,objTwoColors,#00FF80,207,57,125,3,0.66,0.09,0.27,0.1,0.11,0.14
571154184c9bd,47,Female,32,no,objTwoColors,#00FF80,214,51,102,1,0.71,0.09,0.3,0.11,0.14,0.17
5711602ded5e3,48,Female,4,no,objTwoColors,#00FF80,0,0,0,1,0.8,0.39,0.38,0.36,0.39,0.38
571183866d73f,48,Female,32,no,objTwoColors,#00FF80,55,169,89,5,0.17,0.1,0.23,0.13,0.05,0.06
5711f4ec96b9c,45,Female,6,no,objTwoColors,#00FF80,48,12,289,1,0.55,0.27,0.29,0.26,0.27,0.25
5713b10383207,40,Male,32,no,objTwoColors,#00FF80,207,59,104,4,0.66,0.09,0.27,0.09,0.1,0.13
573664e1a4a96,49,Male,18,no,objTwoColors,#00FF80,61,177,399,2,0.16,0.11,0.23,0.11,0.05,0.06
573c70dabcfe0,49,Male,32,yes,objTwoColors,#00FF9A,87,186,216,3,0.11,0.07,0.25,0.05,0.04,0.05
5740ad339507d,40,Male,32,yes,objTwoColors,#00FF9A,207,58,94,4,0.66,0.09,0.27,0.09,0.1,0.14
5740e3f36a945,49,Female,32,yes,objTwoColors,#00FF9A,256,57,286,2,0.76,0.34,0.35,0.1,0.22,0.21
5776cc574bf84,45,Female,21,no,objTwoColors,#00FF80,179,46,372,5,0.51,0.1,0.23,0.13,0.07,0.09
