id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cd99df604,23,Female,32,no,objTwoColors,#00FF80,159,114,538,2,0.39,0.07,0.27,0.09,0.01,0.04
5710ce6c1308c,23,Female,32,no,objTwoColors,#00FF80,179,59,160,5,0.49,0.11,0.23,0.11,0.05,0.07
5710d71ff24c3,20,Female,32,no,objTwoColors,#00FF80,55,192,322,4,0.26,0.1,0.24,0.1,0.07,0.1
5710e540a9514,52,Female,32,no,objTwoColors,#00FF80,130,0,158,4,0.41,0.12,0.32,0.2,0.12,0.16
5710e60f69205,24,Female,31,no,objTwoColors,#00FF80,55,201,113,4,0.32,0.1,0.26,0.1,0.09,0.12
5710ee9e58646,25,Female,32,yes,objTwoColors,#00FF80,205,131,734,3,0.64,0.11,0.29,0.03,0.1,0.11
57110028bc74b,48,Female,32,no,objTwoColors,#00FF80,0,141,516,2,0.6,0.11,0.31,0.19,0.11,0.15
571103343658b,20,Female,32,no,objTwoColors,#00FF80,147,141,627,3,0.27,0.04,0.27,0.08,0,0.05
57112a657ac25,20,Female,24,no,objTwoColors,#00FF80,147,0,600,3,0.47,0.1,0.3,0.19,0.12,0.15
57112b9e10661,64,Female,34,no,objTwoColors,#00FF80,254,54,298,3,0.77,0.33,0.36,0.1,0.23,0.22
57112d8509632,45,Female,32,no,objTwoColors,#00FF80,207,57,125,3,0.66,0.09,0.27,0.1,0.11,0.14
57112da850667,22,Female,47,no,objTwoColors,#00FF80,59,120,165,3,0.37,0.09,0.28,0.17,0.06,0.09
57112da850667,22,Female,47,no,objTwoColors,#00FF80,0,145,224,1,0.58,0.1,0.3,0.19,0.12,0.15
57112ebc85ba1,18,Female,32,no,objTwoColors,#00FF80,187,52,143,5,0.54,0.11,0.23,0.12,0.07,0.09
57112f57403ee,25,Female,14,no,objTwoColors,#00FF80,193,50,184,2,0.58,0.1,0.24,0.11,0.09,0.11
571130c5cd6e9,24,Female,32,no,objTwoColors,#00FF80,59,208,106,5,0.34,0.08,0.28,0.09,0.1,0.14
571130d934bda,22,Female,32,no,objTwoColors,#00FF80,143,0,148,5,0.45,0.1,0.31,0.19,0.12,0.15
5711348e42f02,19,Female,32,no,objTwoColors,#00FF80,232,120,154,4,0.78,0.16,0.38,0.05,0.19,0.18
571137a34931a,27,Female,25,no,objTwoColors,#00FF80,235,153,620,4,0.67,0.26,0.36,0.07,0.31,0.25
57113d4d93c81,18,Female,32,no,objTwoColors,#00FF80,189,59,224,4,0.54,0.1,0.24,0.1,0.06,0.08
57113e6176346,23,Female,30,no,objTwoColors,#00FF80,0,176,317,2,0.44,0.09,0.27,0.17,0.17,0.15
571154184c9bd,47,Female,32,no,objTwoColors,#00FF80,214,51,102,1,0.71,0.09,0.3,0.11,0.14,0.17
5711602ded5e3,48,Female,4,no,objTwoColors,#00FF80,0,0,0,1,0.8,0.39,0.38,0.36,0.39,0.38
5711641931da5,20,Female,32,no,objTwoColors,#00FF80,111,58,175,5,0.24,0.09,0.27,0.17,0.06,0.09
571165992a5c1,67,Female,32,no,objTwoColors,#00FF80,185,149,200,3,0.44,0.1,0.24,0.04,0.1,0.1
5711703bd85fc,18,Female,32,no,objTwoColors,#00FF80,215,63,281,3,0.7,0.06,0.3,0.09,0.12,0.15
5711800f2c5f3,59,Female,31,no,objTwoColors,#00FF80,198,48,117,4,0.62,0.1,0.25,0.11,0.1,0.13
571183866d73f,48,Female,32,no,objTwoColors,#00FF80,55,169,89,5,0.17,0.1,0.23,0.13,0.05,0.06
5711f4ec96b9c,45,Female,6,no,objTwoColors,#00FF80,48,12,289,1,0.55,0.27,0.29,0.26,0.27,0.25
5712197fbccd5,24,Female,32,no,objTwoColors,#00FF80,0,81,106,3,0.63,0.21,0.3,0.22,0.21,0.19
57123e4050550,20,Female,40,no,objTwoColors,#00FF80,0,147,908,4,0.57,0.1,0.3,0.19,0.12,0.15
57123e4050550,20,Female,40,no,objTwoColors,#00FF80,3,0,278,3,0.8,0.39,0.38,0.36,0.39,0.38
571252e6d2e70,31,Female,32,no,objTwoColors,#00FF80,101,0,94,5,0.39,0.16,0.32,0.2,0.12,0.17
57127bcfaafb0,22,Female,32,no,objTwoColors,#00FF80,55,198,137,4,0.3,0.1,0.25,0.1,0.09,0.11
571289ef76e18,55,Female,31,no,objTwoColors,#00FF80,173,67,654,4,0.44,0.11,0.24,0.1,0.04,0.04
5712bd55a8a13,27,Female,32,no,objTwoColors,#00FF80,59,194,166,3,0.26,0.1,0.24,0.09,0.07,0.1
5712c2b021f58,22,Female,32,no,objTwoColors,#00FF80,175,57,94,5,0.47,0.11,0.23,0.12,0.05,0.06
5712c57f97f25,25,Female,31,no,objTwoColors,#00FF80,134,0,153,2,0.42,0.11,0.32,0.2,0.12,0.15
5712d9bc0cae3,20,Female,7,no,objTwoColors,#00FF80,152,155,223,5,0.21,0.02,0.25,0.07,0.05,0.03
5713923c1bbc7,24,Female,27,no,objTwoColors,#00FF80,181,275,741,2,0.55,0.44,0.31,0.09,0.35,0.29
5713a02a13044,24,Female,32,yes,objTwoColors,#00FF80,97,0,836,4,0.39,0.17,0.32,0.2,0.15,0.17
5713fc80c942a,23,Female,32,no,objTwoColors,#00FF80,186,59,163,5,0.53,0.1,0.23,0.1,0.06,0.08
57149713464b1,51,Female,32,no,objTwoColors,#00FF80,0,0,0,1,0.8,0.39,0.38,0.36,0.39,0.38
57153eb9b4bed,35,Female,31,no,objTwoColors,#00FF80,0,104,870,3,0.64,0.16,0.32,0.2,0.12,0.16
5716e9900f6ea,58,Female,31,no,objTwoColors,#00FF80,221,65,769,3,0.73,0.05,0.32,0.08,0.14,0.17
572934019041e,20,Female,6,no,objTwoColors,#00FF80,57,230,290,4,0.45,0.04,0.34,0.09,0.18,0.2
572baa7f9493c,20,Female,10,no,objTwoColors,#00FF80,203,61,281,3,0.63,0.09,0.26,0.09,0.09,0.12
5734d89183dab,19,Female,29,no,objTwoColors,#00FF80,106,187,178,4,0.09,0.03,0.26,0.04,0.04,0.05
573a059da0efd,31,Female,32,yes,objTwoColors,#00FF9A,0,0,0,1,0.8,0.39,0.38,0.36,0.39,0.38
573c783748e8b,37,Female,32,yes,objTwoColors,#00FF9A,23,55,580,3,0.55,0.22,0.27,0.24,0.22,0.21
573ec4275ba17,24,Female,32,yes,objTwoColors,#00FF9A,202,0,297,3,0.8,0.39,0.31,0.17,0.26,0.22
5740a8b59d448,31,Female,32,yes,objTwoColors,#00FF9A,136,0,186,3,0.42,0.11,0.31,0.2,0.12,0.15
5740bda9be3dc,83,Female,32,yes,objTwoColors,#00FF9A,56,188,107,5,0.24,0.1,0.24,0.11,0.06,0.09
5740e3f36a945,49,Female,32,yes,objTwoColors,#00FF9A,256,57,286,2,0.76,0.34,0.35,0.1,0.22,0.21
574121b9e952d,22,Female,5,no,objTwoColors,#00FF80,48,182,235,3,0.24,0.1,0.23,0.13,0.07,0.09
57427cf6bad0c,19,Female,32,no,objTwoColors,#00FF80,0,0,0,4,0.8,0.39,0.38,0.36,0.39,0.38
574511e99b6d9,19,Female,32,no,objTwoColors,#00FF80,193,53,145,4,0.58,0.1,0.24,0.1,0.08,0.11
57451c3b38192,23,Female,32,no,objTwoColors,#00FF80,0,150,329,4,0.55,0.1,0.3,0.19,0.12,0.15
5745350dc1e22,19,Female,31,no,objTwoColors,#00FF80,193,57,121,3,0.57,0.1,0.24,0.09,0.07,0.1
5745500f6e643,24,Female,32,no,objTwoColors,#00FF80,117,0,546,3,0.41,0.13,0.32,0.2,0.12,0.16
5745b5cbe3caa,34,Female,32,no,objTwoColors,#00FF80,185,75,357,4,0.51,0.09,0.24,0.08,0.04,0.06
5756b2d9bd658,23,Female,32,yes,objTwoColors,#00FF9A,182,59,152,4,0.5,0.11,0.23,0.11,0.05,0.07
5776cc574bf84,45,Female,21,no,objTwoColors,#00FF80,179,46,372,5,0.51,0.1,0.23,0.13,0.07,0.09
