id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
5710cc5a7829c,objTwoColors,#00FF80,152,0,89,5,0.49,0.1,0.29,0.19,0.12,0.15,0.79,0.8,0.38,0.4,0.29,0.38,0.4,0.72
5710cd99df604,objTwoColors,#00FF80,159,114,538,2,0.39,0.07,0.27,0.09,0.01,0.04,0.64,0.65,0.3,0.32,0.26,0.33,0.32,0.55
5710cd9d571f2,objTwoColors,#00FF80,0,0,0,1,0.8,0.39,0.38,0.36,0.39,0.38,0.39,0.4,0.69,0.7,0.64,0.68,0.7,0.83
5710ce6c1308c,objTwoColors,#00FF80,179,59,160,5,0.49,0.11,0.23,0.11,0.05,0.07,0.63,0.64,0.27,0.29,0.23,0.3,0.29,0.28
5710cf445718e,objTwoColors,#00FF80,213,57,160,3,0.69,0.08,0.29,0.1,0.12,0.16,0.73,0.73,0.48,0.49,0.43,0.49,0.49,0.08
5710d140b7c5a,objTwoColors,#00FF80,105,254,607,3,0.32,0.18,0.39,0.05,0.21,0.19,0.73,0.74,0.52,0.53,0.58,0.53,0.53,1.06
5710d28fec2d1,objTwoColors,#00FF80,0,272,310,1,0.69,0.32,0.41,0.23,0.33,0.32,0.28,0.29,0.87,0.89,0.86,0.89,0.89,1.01
5710d71ff24c3,objTwoColors,#00FF80,55,192,322,4,0.26,0.1,0.24,0.1,0.07,0.1,0.37,0.39,0.47,0.48,0.48,0.48,0.48,0.83
5710d9dcc23f0,objTwoColors,#00FF80,198,170,76,2,0.4,0.2,0.23,0.06,0.21,0.2,0.48,0.48,0.6,0.62,0.55,0.62,0.62,0.38
5710e540a9514,objTwoColors,#00FF80,130,0,158,4,0.41,0.12,0.32,0.2,0.12,0.16,0.82,0.82,0.3,0.31,0.31,0.29,0.31,0.82
5710e60f69205,objTwoColors,#00FF80,55,201,113,4,0.32,0.1,0.26,0.1,0.09,0.12,0.43,0.44,0.52,0.53,0.53,0.53,0.53,0.88
5710ea84d4c6f,objTwoColors,#00FF80,121,171,307,3,0.04,0.03,0.26,0.06,0.03,0.02,0.45,0.46,0.24,0.25,0.32,0.26,0.25,0.77
