"id","age","gender","num_answers","in_person","typeOfQuestion","first_color","second_color","third_color","clicks","page_time","rating","resets","id_question"
"5734e848ad81a","21","Male",4,"no","objTwoColors","#FFFF00","57.391304347826086","56.73913043478261",125,16,5,0,1
"5734aa4c927a8","22","Male",15,"no","objTwoColors","#FFFF00","56.08695652173913","59.347826086956516",605,56,1,1,1
"5710cc5a7829c","27","Male",32,"no","objTwoColors","#FFFF00","58.69565217391305","#FFFFFF",47,8,5,0,1
"5710d140b7c5a","26","Male",32,"no","objTwoColors","#FFFF00","45.652173913043484","#FFFFFF",102,5,3,0,1
"57582b17cd76a","26","Male",32,"yes","objTwoColors","#FFFF00","43.69565217391305","#FFFFFF",44,25,4,0,1
"5711231e370f2","24","Male",32,"yes","objTwoColors","#FFFF00","#FFFFFF","58.04347826086956",390,41,3,0,1
"5712bd55a8a13","27","Female",32,"no","objTwoColors","#FFFF00","#FFFFFF","59.347826086956516",96,9,5,0,1
"5756ae6897296","21","Male",32,"yes","objTwoColors","#CEFF00","0.6521739130434783","24.782608695652176",25,8,5,0,1
"57112da850667","22","Female",47,"no","objTwoColors","#FFFF00","65.86956521739131","59.347826086956516",197,17,5,0,1
"5712c57f97f25","25","Female",31,"no","objTwoColors","#FFFF00","58.69565217391305","59.347826086956516",160,39,4,0,1
"571151812791a","20","Male",32,"yes","objTwoColors","#FFFF00","229.23913043478262","112.82608695652175",243,14,4,0,1
"57113de4aed1a","21","Male",31,"no","objTwoColors","#FFFF00","89.34782608695652","182.28260869565216",170,7,4,0,1
"57114ca79a200","21","Male",3,"no","objTwoColors","#FFFF00","352.17391304347825","113.80434782608697",318,24,4,0,1
"5712c2b021f58","22","Female",32,"no","objTwoColors","#FFFF00","#FFFFFF","58.80002229110055",319,26,5,0,1
"57113b7f16c4b","22","Male",31,"no","objTwoColors","#FFFF00","236.08695652173913","131.41304347826087",547,130,3,0,1
"573e47c26cb8e","24","Male",32,"yes","objTwoColors","#CEFF00","51.52173913043478","155.8695652173913",108,26,2,0,1
"5756ab1701ba0","21","Male",32,"yes","objTwoColors","#CEFF00","188.1521739130435","140.2173913043478",190,13,5,0,1
"5738cf3d97a58","23","Male",32,"no","objTwoColors","#FFFF00","2.608695652173913","119.67391304347825",272,48,4,0,1
"57113163e6fb1","20","Female",10,"no","objTwoColors","#FFFF00","245.21739130434784","141.19565217391306",583,28,3,0,1
"573e4d0eb795b","24","Male",32,"yes","objTwoColors","#CEFF00","239.02173913043478","120.65217391304347",157,23,4,0,1
"57122f7e5768f","23","Male",4,"no","objTwoColors","#FFFF00","60","#FFFFFF",952,61,5,0,1
"57123bec83e8e","21","Male",32,"no","objTwoColors","#FFFF00","1.3043478260869565","25.434782608695652",712,36,3,0,1
"571130c5cd6e9","24","Female",32,"no","objTwoColors","#FFFF00","56.08695652173913","55.43478260869565",352,65,4,0,1
"57581518c2c07","25","Male",32,"yes","objTwoColors","#FFFF00","178.3695652173913","161.73913043478262",86,8,2,0,1
"5710ee9e58646","25","Female",32,"yes","objTwoColors","#FFFF00","5.217391304347826","123.58695652173913",159,11,3,0,1
"5711ace2ee7ed","24","Male",32,"no","objTwoColors","#FFFF00","54.78260869565217","56.73913043478261",71,15,5,0,1
"57111f6c42412","22","Male",34,"no","objTwoColors","#FFFF00","57.391304347826086","#FFFFFF",343,19,5,0,1
"572767049ccfa","24","Male",32,"yes","objTwoColors","#CEFF00","179.3478260869565","58.04347826086956",124,20,3,0,1
"5710ee55dcd72","23","Female",6,"no","objTwoColors","#FFFF00","136.30434782608697","5.869565217391305",214,36,5,0,1
"5710cc2b8a642","24","Male",16,"no","objTwoColors","#FFFF00","90.32608695652175","10.434782608695652",121,54,4,0,1
"571130d934bda","22","Female",32,"no","objTwoColors","#FFFF00","59.45657481317935","#FFFFFF",233,24,4,0,1
"5734918f46823","26","Male",32,"no","objTwoColors","#FFFF00","0.6521739130434783","#FFFFFF",41,12,3,0,1
"57119224388ef","24","Male",31,"no","objTwoColors","#FFFF00","206.73913043478262","105.97826086956522",223,12,5,0,1
"57123e4050550","20","Female",40,"no","objTwoColors","#FFFF00","48.26086956521739","#FFFFFF",553,58,3,0,1
"5727633cd6511","25","Male",11,"no","objTwoColors","#FFFF00","#FFFFFF","59.347826086956516",432,26,5,0,1
"57112edad4a17","23","Male",10,"no","objTwoColors","#FFFF00","29.347826086956523","#FFFFFF",29,7,2,0,1
"572106a31c230","24","Male",16,"no","objTwoColors","#FFFF00","27.391304347826086","95.21739130434783",377,26,3,0,1
"573e4022949b1","24","Male",32,"yes","objTwoColors","#CEFF00","70.76086956521739","#FFFFFF",130,9,5,0,1
"5710cd99df604","23","Female",32,"no","objTwoColors","#FFFF00","59.92174231487772","#FFFFFF",149,8,4,0,1
"5714c6c26c2f6","21","Male",11,"no","objTwoColors","#FFFF00","58.04347826086956","54.78260869565217",146,20,5,0,1
"573a0b8280839","29","Male",21,"yes","objTwoColors","#CEFF00","#FFFFFF","39.78260869565217",38,9,3,0,1
"573ec4275ba17","24","Female",32,"yes","objTwoColors","#CEFF00","55.43478260869565","81.52173913043478",223,16,3,0,1
"571410751e7b0","22","Female",12,"no","objTwoColors","#FFFF00","348.26086956521743","90.32608695652175",192,24,2,0,1
"5710e60f69205","24","Female",31,"no","objTwoColors","#FFFF00","51.52173913043478","#FFFFFF",217,23,4,0,1
"5713fc80c942a","23","Female",32,"no","objTwoColors","#FFFF00","58.04347826086956","58.69565217391305",308,23,5,0,1
"573edae85268b","27","Male",32,"yes","objTwoColors","#CEFF00","58.04347826086956","97.17391304347825",245,18,5,0,1
"5711760a3dfe0","21","Male",8,"no","objTwoColors","#FFFF00","44.347826086956516","#FFFFFF",105,13,5,0,1
"571103343658b","20","Female",32,"no","objTwoColors","#FFFF00","61.36958910071331","57.65218983525815",127,15,5,0,1
"5757ffca0b4b1","24","Male",32,"yes","objTwoColors","#FFFF00","56.73913043478261","#FFFFFF",28,19,5,0,1
"57112a657ac25","20","Female",24,"no","objTwoColors","#FFFF00","55.532584812330164","#FFFFFF",233,17,3,0,1
"5713dd915ca28","24","Female",20,"no","objTwoColors","#FFFF00","#FFFFFF","43.04347826086956",88,15,1,0,1
"5757fd2703090","22","Male",32,"yes","objTwoColors","#FFFF00","58.04347826086956","#FFFFFF",21,4,5,0,1
"574297edae49c","24","Male",32,"no","objTwoColors","#FFFF00","1.9565217391304348","128.47826086956522",454,28,1,0,1
