"id","age","gender","num_answers","in_person","typeOfQuestion","first_color","second_color","third_color","clicks","page_time","rating","resets","id_question"
"5713b961c216a","647","Male",11,"no","objTwoColors","#FFFF00","NONE","NONE",0,1,5,0,1
"5740b0f8e9734","62","Male",33,"yes","objTwoColors","#CEFF00","hsl(71.73913043478261,1,0.50)","NONE",358,51,5,0,1
"57112b9e10661","64","Female",34,"no","objTwoColors","#FFFF00","hsl(212.60869565217394,1,0.50)","hsl(96.19565217391305,1,0.50)",102,12,2,0,1
"5740bda9be3dc","83","Female",32,"yes","objTwoColors","#CEFF00","hsl(73.69565217391305,1,0.50)","hsl(88.36956521739131,1,0.50)",325,30,5,0,1
"571165992a5c1","67","Female",32,"no","objTwoColors","#FFFF00","hsl(57.391304347826086,1,0.50)","hsl(50.21739130434783,1,0.50)",452,101,3,0,1
"5740b0f8e9734","62","Male",33,"yes","objTwoColors","#FF00FF","hsl(300,1,0.50)","NONE",514,56,5,0,2
"57112b9e10661","64","Female",34,"no","objTwoColors","#FF00FF","hsl(91.30434782608695,1,0.50)","hsl(209.67391304347825,1,0.50)",115,35,2,0,2
"57153d9a56ce0","62","Female",9,"no","objTwoColors","#FF00FF","NONE","hsl(300,1,0.50)",149,12,5,0,2
"5713b961c216a","647","Male",11,"no","objTwoColors","#FF00FF","hsl(303.48505434782606,1,0.50)","hsl(304.36141304347825,1,0.50)",245,49,5,0,2
"5740bda9be3dc","83","Female",32,"yes","objTwoColors","#FF00FF","hsl(320.8695652173913,1,0.50)","hsl(316.30434782608694,1,0.50)",675,116,5,0,2
"571165992a5c1","67","Female",32,"no","objTwoColors","#FF00FF","hsl(333.9130434782609,1,0.50)","hsl(273.2608695652174,1,0.50)",259,29,3,0,2
"571165992a5c1","67","Female",32,"no","objTwoColors","#80FF00","hsl(236.08695652173913,1,0.50)","hsl(68.80434782608695,1,0.50)",353,46,3,0,3
"5740bda9be3dc","83","Female",32,"yes","objTwoColors","#00FF00","hsl(57.391304347826086,1,0.50)","hsl(186.19565217391306,1,0.50)",105,15,5,0,3
"57112b9e10661","64","Female",34,"no","objTwoColors","#80FF00","hsl(196.95652173913044,1,0.50)","hsl(58.04347826086956,1,0.50)",69,12,2,0,3
"5740b0f8e9734","62","Male",33,"yes","objTwoColors","#00FF00","hsl(136.30434782608697,1,0.50)","NONE",330,64,4,0,3
"571165992a5c1","67","Female",32,"no","objTwoColors","#7f00ff","hsl(324.78260869565213,1,0.50)","hsl(221.41304347826087,1,0.50)",178,36,2,0,4
"5740bda9be3dc","83","Female",32,"yes","objTwoColors","#B100FF","hsl(318.2608695652174,1,0.50)","hsl(209.67391304347825,1,0.50)",380,78,5,0,4
"5740b0f8e9734","62","Male",33,"yes","objTwoColors","#B100FF","hsl(281.7391304347826,1,0.50)","NONE",177,36,4,0,4
"57112b9e10661","64","Female",34,"no","objTwoColors","#7f00ff","hsl(200.8695652173913,1,0.50)","hsl(286.30434782608694,1,0.50)",884,542,2,0,4
"57112b9e10661","64","Female",34,"no","objTwoColors","#FF0080","hsl(10.434782608695652,1,0.50)","hsl(154.8913043478261,1,0.50)",37,20,2,0,5
"5740bda9be3dc","83","Female",32,"yes","objTwoColors","#FF007A","hsl(322.17391304347825,1,0.50)","hsl(330.6521739130435,1,0.50)",186,43,5,0,5
"5713b961c216a","647","Male",11,"no","objTwoColors","#FF0080","hsl(330.8763586956522,1,0.50)","hsl(334.36141304347825,1,0.50)",248,21,5,0,5
