"id","age","gender","num_answers","in_person","typeOfQuestion","first_color","second_color","third_color","clicks","page_time","rating","resets","id_question"
"57427cf6bad0c","19","Female",32,"no","objTwoColors","#FFFF00","hsl(61.95652173913044,1,0.50)","NONE",188,34,2,0,1
"5745f6f039dc9","15","Male",33,"no","objTwoColors","#FFFF00","hsl(69.140625,1,0.50)","hsl(350.01358695652175,1,0.50)",40,5,1,0,1
"5745c1c07cc0c","18","Other",31,"no","objTwoColors","#FFFF00","hsl(56.08695652173913,1,0.50)","hsl(59.347826086956516,1,0.50)",106,17,5,0,1
"57112fc882a10","18","Male",3,"no","objTwoColors","#FFFF00","hsl(40.43478260869565,1,0.50)","NONE",307,32,3,0,1
"57127cb3ab1fe","1","Male",12,"no","objTwoColors","#FFFF00","hsl(60.97826086956521,1,0.50)","NONE",220,21,5,0,1
"5736048bb110b","19","Male",32,"no","objTwoColors","#FFFF00","hsl(59.347826086956516,1,0.50)","hsl(52.17391304347826,1,0.50)",133,6,5,0,1
"57121540dbb98","18","Male",7,"no","objTwoColors","#FFFF00","hsl(56.08695652173913,1,0.50)","hsl(56.73913043478261,1,0.50)",1068,62,5,0,1
"5711e54c50f6b","19","Male",4,"no","objTwoColors","#FFFF00","hsl(52.17391304347826,1,0.50)","NONE",314,38,4,0,1
"57112ebc85ba1","18","Female",32,"no","objTwoColors","#FFFF00","hsl(57.391304347826086,1,0.50)","hsl(54.130434782608695,1,0.50)",93,9,1,0,1
"573634984323e","19","Male",32,"no","objTwoColors","#FFFF00","hsl(59.40653925356658,1,0.50)","hsl(58.53260869565217,1,0.50)",699,37,5,0,1
"5711348e42f02","19","Female",32,"no","objTwoColors","#FFFF00","hsl(45.652173913043484,1,0.50)","NONE",504,67,3,0,1
"5745350dc1e22","19","Female",31,"no","objTwoColors","#FFFF00","hsl(57.391304347826086,1,0.50)","hsl(56.08695652173913,1,0.50)",316,23,5,0,1
"5734d89183dab","19","Female",29,"no","objTwoColors","#FFFF00","hsl(58.04347826086956,1,0.50)","hsl(54.78260869565217,1,0.50)",88,14,4,0,1
