Color;H;S;V;L;C;h;C;M;Y;K;R;G;B;L;a;b
R;0;1;1;53.23;104.57;40;0;100;100;0;1;0;0;53.23;80.11;67.22
G;0.333333333;1;1;87.74;119.77;136.01;100;0;100;0;0;1;0;87.74;-86.18;83.18
B;0.666666667;1;1;32.3;133.81;306.29;100;100;0;0;0;0;1;32.3;79.2;-107.86
C;0.5;1;1;91.12;50.11;196.39;100;0;0;0;0;1;1;91.12;-48.08;-14.14
M;0.833333333;1;1;60.32;115.56;328.23;0;100;0;0;1;0;1;60.32;98.25;-60.84
Y;0.166666667;1;1;97.14;96.9;102.85;0;0;100;0;1;1;0;97.14;-21.56;94.48
R-G;0.166666667;1;1;70.49;112.17;88.01;50;50;100;0;0.5;0.5;0;70.49;-3.035;75.2
R-B;0.833333333;1;1;42.77;119.19;353.15;50;100;50;0;0.5;0;0.5;42.77;79.66;-20.32
G-B;0.5;1;1;60.02;126.79;221.15;100;50;50;0;0;0.5;0.5;60.02;-3.49;-12.34
R-C;0.25;1;1;72.18;77.34;118.2;50;50;50;0;0.5;0.5;0.5;72.18;16.02;26.54
R-C;0.75;1;1;;;;;;;;;;;;;
R-M;0.916666667;1;1;56.78;110.07;4.12;0;100;50;0;1;0;0.5;56.78;89.18;3.19
R-Y;0.083333333;1;1;75.19;100.74;71.43;0;50;100;0;1;0.5;0;75.19;29.28;80.85
C-M;0.666666667;1;1;75.72;82.84;262.35;50;50;0;0;0.5;0.5;1;75.72;25.09;-37.49
M-Y;0;1;1;78.73;106.23;35.54;0;50;50;0;1;0.5;0.5;78.73;38.35;16.82
G-C;0.416666667;1;1;89.43;84.94;166.2;100;0;50;0;0;1;0.5;89.43;-67.13;34.52
G-M;0.583333333;1;1;74.03;117.67;52.12;50;50;50;0;0.5;0.5;0.5;74.03;6.04;11.17
G-M;0.083333333;1;1;;;;;;;;;;;;;
G-Y;0.25;1;1;92.44;108.34;119.43;50;0;100;0;0.5;1;0;92.44;-53.87;88.83
B-C;0.583333333;1;1;61.71;91.96;251.34;100;50;0;0;0;0.5;1;61.71;15.56;-61
B-M;0.75;1;1;46.31;124.69;317.26;50;100;0;0;0.5;0;1;46.31;88.73;-84.35
B-Y;0.416666667;1;1;64.72;115.36;24.57;50;50;50;0;0.5;0.5;0.5;64.72;28.82;-6.69
B-Y;0.916666667;1;1;;;;;;;;;;;;;
C-Y;0.333333333;1;1;94.13;73.51;149.62;50;0;50;0;0.5;1;0.5;94.13;-34.82;40.17
