id,typeOfQuestion,first_color,second_color,third_color,clicks,page_time,rating,resets,diff_hsv_1,diff_lch,diff_cmyk,diff_rgb,diff_lab
5710ee9e58646,objTwoColors,#FFFF00,5,124,159,11,3,0,0.05,0.04,0.03,0.04,0.02
5711231e370f2,objTwoColors,#FFFF00,0,58,390,41,3,0,0.13,0.2,0.19,0.13,0.17
571151812791a,objTwoColors,#FFFF00,229,113,243,14,4,0,0.31,0.32,0.32,0.31,0.32
5713a02a13044,objTwoColors,#FFFF00,1,52,85,13,4,0,0.13,0.2,0.19,0.13,0.17
572767049ccfa,objTwoColors,#FFFF00,179,58,124,20,3,0,0.38,0.35,0.35,0.38,0.36
572c85675a5ef,objTwoColors,#FFFF00,346,101,1209,97,3,0,0.05,0.11,0.1,0.06,0.08
5739ff85289b2,objTwoColors,#FFFF00,50,196,6,17,2,0,0.37,0.35,0.35,0.37,0.36
573a059da0efd,objTwoColors,#FFFF00,199,49,84,13,5,0,0.37,0.34,0.35,0.37,0.35
573a0b8280839,objTwoColors,#FFFF00,0,40,38,9,3,0,0.13,0.2,0.19,0.13,0.17
573c70dabcfe0,objTwoColors,#FFFF00,70,0,710,60,2,0,0.11,0.19,0.18,0.12,0.16
573c783748e8b,objTwoColors,#FFFF00,55,57,77,18,3,0,0.13,0.2,0.19,0.13,0.17
573e4022949b1,objTwoColors,#FFFF00,71,0,130,9,5,0,0.11,0.18,0.18,0.12,0.15
573e47c26cb8e,objTwoColors,#FFFF00,52,156,108,26,2,0,0.29,0.25,0.25,0.29,0.27
573e4d0eb795b,objTwoColors,#FFFF00,239,121,157,23,4,0,0.27,0.28,0.28,0.27,0.28
573edae85268b,objTwoColors,#FFFF00,58,97,245,18,5,0,0.28,0.21,0.22,0.28,0.24
5740a8b59d448,objTwoColors,#FFFF00,152,57,912,72,2,0,0.3,0.24,0.25,0.29,0.26
5740ad339507d,objTwoColors,#FFFF00,55,0,38,10,3,0,0.13,0.2,0.19,0.13,0.17
5740b0f8e9734,objTwoColors,#FFFF00,72,0,358,51,5,0,0.11,0.18,0.17,0.12,0.15
5740b686127bb,objTwoColors,#FFFF00,51,65,829,101,2,0,0.03,0.1,0.09,0.03,0.07
5740bda9be3dc,objTwoColors,#FFFF00,74,88,325,30,5,0,0.31,0.23,0.24,0.3,0.26
5740e3f36a945,objTwoColors,#FFFF00,76,0,139,26,2,0,0.1,0.18,0.17,0.11,0.15
574859b8f3379,objTwoColors,#FFFF00,1,124,245,26,4,0,0.04,0.05,0.04,0.03,0.02
5756ab1701ba0,objTwoColors,#FFFF00,188,140,190,13,5,0,0.48,0.47,0.48,0.48,0.48
5756ae6897296,objTwoColors,#FFFF00,1,25,25,8,5,0,0.13,0.2,0.19,0.13,0.17
5756b2d9bd658,objTwoColors,#FFFF00,59,95,228,28,5,0,0.29,0.22,0.23,0.29,0.25
5757fd2703090,objTwoColors,#FFFF00,58,0,21,4,5,0,0.13,0.2,0.19,0.13,0.17
5757ffca0b4b1,objTwoColors,#FFFF00,57,0,28,19,5,0,0.13,0.2,0.19,0.13,0.17
57581518c2c07,objTwoColors,#FFFF00,178,162,86,8,2,0,0.53,0.53,0.53,0.53,0.53
57582b17cd76a,objTwoColors,#FFFF00,44,0,44,25,4,0,0.13,0.2,0.19,0.13,0.17
