id,typeOfQuestion,first_color,second_color,third_color,clicks,page_time,rating,resets,diff_hsv_1,diff_lch,diff_cmyk,diff_rgb,diff_online
5710cc2b8a642,objTwoColors,#FFFF00,90,10,121,54,4,0,0.05,0.12,0.11,0.06,0.09
5710cc5a7829c,objTwoColors,#FFFF00,59,0,47,8,5,0,0.13,0.2,0.19,0.13,0.17
5710cd99df604,objTwoColors,#FFFF00,60,0,149,8,4,0,0.13,0.2,0.19,0.13,0.17
5710ce6c1308c,objTwoColors,#FFFF00,59,55,96,43,5,0,0.13,0.2,0.19,0.13,0.17
5710cf445718e,objTwoColors,#FFFF00,0,53,47,6,5,0,0.13,0.2,0.19,0.13,0.17
5710d140b7c5a,objTwoColors,#FFFF00,46,0,102,5,3,0,0.13,0.2,0.19,0.13,0.17
5710d28fec2d1,objTwoColors,#FFFF00,0,210,336,22,1,0,0.32,0.3,0.3,0.32,0.3
5710d71ff24c3,objTwoColors,#FFFF00,0,0,180,10,1,0,NaN,NaN,NaN,NaN,NaN
5710e540a9514,objTwoColors,#FFFF00,10,111,191,41,4,0,0.03,0.05,0.04,0.03,0.02
5710e60f69205,objTwoColors,#FFFF00,52,0,217,23,4,0,0.13,0.2,0.19,0.13,0.17
5710ee55dcd72,objTwoColors,#FFFF00,136,6,214,36,5,0,0.07,0.05,0.05,0.07,0.05
57110028bc74b,objTwoColors,#FFFF00,0,59,92,13,3,0,0.13,0.2,0.19,0.13,0.17
571103343658b,objTwoColors,#FFFF00,61,58,127,15,5,0,0.04,0.11,0.1,0.04,0.08
5711106ab212a,objTwoColors,#FFFF00,43,0,29,14,5,0,0.13,0.2,0.19,0.13,0.17
5711148c11035,objTwoColors,#FFFF00,3,0,512,91,3,0,0.13,0.2,0.19,0.13,0.17
57111f6c42412,objTwoColors,#FFFF00,57,0,343,19,5,0,0.13,0.2,0.19,0.13,0.17
57112a657ac25,objTwoColors,#FFFF00,56,0,233,17,3,0,0.13,0.2,0.19,0.13,0.17
57112b9e10661,objTwoColors,#FFFF00,213,96,102,12,2,0,0.37,0.37,0.37,0.37,0.37
57112cec29456,objTwoColors,#FFFF00,113,11,416,62,5,0,0.04,0.03,0.03,0.04,0.01
57112d8509632,objTwoColors,#FFFF00,56,55,87,11,5,0,0.13,0.2,0.19,0.13,0.17
57112da850667,objTwoColors,#FFFF00,66,59,197,17,5,0,0.21,0.13,0.14,0.2,0.16
57112ebc85ba1,objTwoColors,#FFFF00,57,54,93,9,1,0,0.13,0.2,0.19,0.13,0.17
57112edad4a17,objTwoColors,#FFFF00,29,0,29,7,2,0,0.13,0.2,0.19,0.13,0.17
57112fc882a10,objTwoColors,#FFFF00,40,0,307,32,3,0,0.13,0.2,0.19,0.13,0.17
571130c5cd6e9,objTwoColors,#FFFF00,56,55,352,65,4,0,0.13,0.2,0.19,0.13,0.17
571130d934bda,objTwoColors,#FFFF00,59,0,233,24,4,0,0.13,0.2,0.19,0.13,0.17
57113163e6fb1,objTwoColors,#FFFF00,245,141,583,28,3,0,0.18,0.21,0.21,0.18,0.19
5711348e42f02,objTwoColors,#FFFF00,46,0,504,67,3,0,0.13,0.2,0.19,0.13,0.17
571137a34931a,objTwoColors,#FFFF00,50,0,73,8,2,0,0.13,0.2,0.19,0.13,0.17
571137cd27765,objTwoColors,#FFFF00,245,116,567,32,4,0,0.27,0.28,0.28,0.27,0.27
57113d4d93c81,objTwoColors,#FFFF00,50,0,35,6,4,0,0.13,0.2,0.19,0.13,0.17
57113d9cc42b5,objTwoColors,#FFFF00,51,0,36,4,5,0,0.13,0.2,0.19,0.13,0.17
57113de4aed1a,objTwoColors,#FFFF00,89,182,170,7,4,0,0.47,0.45,0.45,0.46,0.46
57113e6176346,objTwoColors,#FFFF00,0,57,439,32,1,0,0.13,0.2,0.19,0.13,0.17
5711405eb4abb,objTwoColors,#FFFF00,53,0,66,15,5,0,0.13,0.2,0.19,0.13,0.17
57114ca79a200,objTwoColors,#FFFF00,352,114,318,24,4,0,0.03,0.07,0.06,0.03,0.04
571153ca15566,objTwoColors,#FFFF00,51,0,1184,130,1,0,0.13,0.2,0.19,0.13,0.17
571153e3025f9,objTwoColors,#FFFF00,3,0,480,31,3,0,0.13,0.2,0.19,0.13,0.17
571154184c9bd,objTwoColors,#FFFF00,53,0,105,19,5,0,0.13,0.2,0.19,0.13,0.17
5711641931da5,objTwoColors,#FFFF00,62,0,134,15,5,0,0.12,0.2,0.19,0.13,0.17
571165992a5c1,objTwoColors,#FFFF00,57,50,452,101,3,0,0.13,0.2,0.19,0.13,0.17
57116b9b879bf,objTwoColors,#FFFF00,53,18,138,11,3,0,0.13,0.2,0.19,0.13,0.17
57116ce8cf9e5,objTwoColors,#FFFF00,0,52,213,13,4,0,0.13,0.2,0.19,0.13,0.17
5711703bd85fc,objTwoColors,#FFFF00,7,96,165,18,2,0,0.04,0.11,0.1,0.04,0.08
5711760a3dfe0,objTwoColors,#FFFF00,44,0,105,13,5,0,0.13,0.2,0.19,0.13,0.17
57117fe7495aa,objTwoColors,#FFFF00,0,54,101,16,5,0,0.13,0.2,0.19,0.13,0.17
5711800f2c5f3,objTwoColors,#FFFF00,46,66,427,97,1,0,0.05,0.12,0.11,0.05,0.09
571183866d73f,objTwoColors,#FFFF00,56,0,83,377,4,0,0.13,0.2,0.19,0.13,0.17
57119224388ef,objTwoColors,#FFFF00,207,106,223,12,5,0,0.42,0.41,0.41,0.42,0.41
5711ace2ee7ed,objTwoColors,#FFFF00,55,57,71,15,5,0,0.13,0.2,0.19,0.13,0.17
5711cbde51bb0,objTwoColors,#FFFF00,50,53,52,6,5,0,0.13,0.2,0.19,0.13,0.17
5711e54c50f6b,objTwoColors,#FFFF00,52,0,314,38,4,0,0.13,0.2,0.19,0.13,0.17
571214121717c,objTwoColors,#FFFF00,50,0,59,24,1,0,0.13,0.2,0.19,0.13,0.17
57121540dbb98,objTwoColors,#FFFF00,56,57,1068,62,5,0,0.13,0.2,0.19,0.13,0.17
5712197fbccd5,objTwoColors,#FFFF00,3,61,440,42,1,0,0.13,0.2,0.19,0.13,0.17
57121e2a63601,objTwoColors,#FFFF00,53,55,278,24,5,0,0.13,0.2,0.19,0.13,0.17
57122f7e5768f,objTwoColors,#FFFF00,60,0,952,61,5,0,0.13,0.2,0.19,0.13,0.17
57123bec83e8e,objTwoColors,#FFFF00,1,25,712,36,3,0,0.13,0.2,0.19,0.13,0.17
57123e4050550,objTwoColors,#FFFF00,48,0,553,58,3,0,0.13,0.2,0.19,0.13,0.17
571247f66fb51,objTwoColors,#FFFF00,7,130,180,13,5,0,0.06,0.04,0.04,0.06,0.03
571252e6d2e70,objTwoColors,#FFFF00,42,0,137,27,5,0,0.13,0.2,0.19,0.13,0.17
571260c120253,objTwoColors,#FFFF00,56,59,95,12,1,0,0.13,0.2,0.19,0.13,0.17
5712649f2fada,objTwoColors,#FFFF00,56,0,149,28,4,0,0.13,0.2,0.19,0.13,0.17
57127bcfaafb0,objTwoColors,#FFFF00,56,58,141,7,5,0,0.13,0.2,0.19,0.13,0.17
57127cb3ab1fe,objTwoColors,#FFFF00,61,0,220,21,5,0,0.13,0.2,0.19,0.13,0.17
5712bd55a8a13,objTwoColors,#FFFF00,0,59,96,9,5,0,0.13,0.2,0.19,0.13,0.17
5712c2b021f58,objTwoColors,#FFFF00,0,59,319,26,5,0,0.13,0.2,0.19,0.13,0.17
5712c57f97f25,objTwoColors,#FFFF00,59,59,160,39,4,0,NaN,NaN,NaN,NaN,NaN
5713923c1bbc7,objTwoColors,#FFFF00,3,38,177,24,5,0,0.13,0.2,0.19,0.13,0.17
5713aa57bebec,objTwoColors,#FFFF00,0,67,377,30,3,0,0.12,0.19,0.18,0.12,0.16
5713ad43312ab,objTwoColors,#FFFF00,357,0,437,30,3,0,0.53,0.53,0.53,0.53,0.53
5713b10383207,objTwoColors,#FFFF00,224,106,307,26,4,0,0.33,0.34,0.33,0.33,0.33
5713b961c216a,objTwoColors,#FFFF00,0,0,0,1,5,0,NaN,NaN,NaN,NaN,NaN
5713dd915ca28,objTwoColors,#FFFF00,0,43,88,15,1,0,0.13,0.2,0.19,0.13,0.17
5713fc80c942a,objTwoColors,#FFFF00,58,59,308,23,5,0,0.13,0.2,0.19,0.13,0.17
571410751e7b0,objTwoColors,#FFFF00,348,90,192,24,2,0,0.07,0.14,0.13,0.08,0.11
57142079d871e,objTwoColors,#FFFF00,50,129,340,42,4,1,0.25,0.18,0.19,0.25,0.21
5714c6c26c2f6,objTwoColors,#FFFF00,58,55,146,20,5,0,0.13,0.2,0.19,0.13,0.17
5716e9900f6ea,objTwoColors,#FFFF00,119,359,312,153,3,0,0.03,0.05,0.04,0.02,0.02
57190633f233f,objTwoColors,#FFFF00,8,221,276,44,3,0,0.37,0.34,0.34,0.36,0.35
572106a31c230,objTwoColors,#FFFF00,27,95,377,26,3,0,0.04,0.04,0.03,0.03,0.01
5727633cd6511,objTwoColors,#FFFF00,0,59,432,26,5,0,0.13,0.2,0.19,0.13,0.17
5727f6d19e901,objTwoColors,#FFFF00,0,38,301,30,3,0,0.13,0.2,0.19,0.13,0.17
