"id","numBlackSquare","wordBlackSquare","numWhiteSquare","wordWhiteSquare","dimensions","available_dim","color_depth"
"5710cbc5f0ea4","10","hello","10","cure","1920x1080","1920x1040","24"
"5710cbe10cade","10","hello","10","cure","1600x900","1600x870","24"
"5710cbf204d10","10","hello","10","cure","1920x1080","1920x1030","24"
"5710cbf28b1e1","9","Tree","10","Friday","360x640","360x640","32"
"5710cc2b8a642","10","hello","10","cure","1440x900","1440x896","24"
"5710cc5a7829c","10","hello","10","cure","1366x768","1366x728","24"
"5710cca334d60","10","hello","10","cure","1366x768","1366x728","24"
"5710cd0a515bb","10","hello","10","cure","1920x1080","1920x1040","24"
"5710cd289f4c3","9","6","8","8","360x640","360x640","32"
"5710cd99df604","10","hello","10","cure","1536x864","1536x826","24"
"5710cd9d571f2","10","Hello","10","cure","1920x1080","1920x1053","24"
"5710ce6c1308c","9","oranges","10","friday","1280x720","1280x683","24"
"5710ce96dd6a3","10","hello","10","cure","1600x900","1600x860","24"
"5710ceb320fdf","10","hello","10","cure","1440x900","1440x823","24"
"5710cf445718e","10","hello","9","friday","1366x768","1366x728","24"
"5710d140b7c5a","10","hello","10","cure","1600x900","1600x860","24"
"5710d243c9715","10","hello","9","friday","1920x1080","1920x1040","24"
"5710d28fec2d1","10","hello","10","cure","1280x800","1280x773","24"
"5710d71ff24c3","10","hello","9","friday","1366x768","1366x738","24"
"5710d7b312b93","8","Orange","9","Friday","414x736","414x716","32"
"5710d87585247","9","World","10","cure","1920x1080","1920x1040","24"
"5710d8ca226a2","10","hello","9","friday","1600x900","1600x860","24"
"5710d8d6aecd6","10","hello","10","cure","1280x800","1280x708","24"
"5710d9a94ba8d","8","Oranges","10","Cure","360x640","360x640","32"
"5710d9dcc23f0","10","NONE","10","NONE","1280x800","1280x773","24"
"5710da94bf1f3","10","Hello","9","Friday","320x480","320x460","32"
"5710dc0f49c60","10","hello","10","cure","1920x1080","1920x1040","24"
"5710dc97aac05","10","hello","9","friday","1366x768","1366x728","24"
"5710e3d7c1247","9","World ","10","Cure","375x667","375x647","32"
"5710e442add22","10","hello","9","friday","1366x768","1366x728","24"
"5710e47f4b50f","10","hello","10","cure","1280x800","1280x723","24"
"5710e540a9514","9","World ","10","Cure","768x1024","768x1004","32"
"5710e5bc55564","10","hello","10","cure","1366x768","1366x728","24"
"5710e60f69205","10","hello","9","friday","1280x800","1280x773","24"
"5710e80e91119","9","world","9","friday","1280x800","1280x796","24"
"5710e9f31cdc4","10","hello","10","cure","1417x797","1417x758","24"
"5710ea84d4c6f","9","world","10","cure","1920x1080","1920x1032","24"
"5710ead0f1348","10","hello","10","cure","1280x800","1280x773","24"
"5710eb0f0132e","9","World","10","Cure","360x640","360x640","32"
"5710eda96f483","9","World","10","Cure","360x640","360x640","32"
"5710ee3fd83e6","10","hello","10","cure","1280x720","1280x680","24"
"5710ee55dcd72","10","hello","9","friday","1440x900","1440x860","24"
"5710ee9e58646","10","hello","10","cure","1440x900","1140x848","24"
"5710f10744167","8","Oranges","9","Friday","320x568","320x548","32"
"5710f9e95c1a5","10","hello","9","friday","1600x900","1600x860","24"
"5710ffa5dd7be","10","hello","9","friday","1920x1080","1920x1032","24"
"57110028bc74b","10","none","10","NONE","1280x800","1280x770","24"
"57110282c560b","9","world","10","cure","1680x1050","1680x1023","24"
"571103343658b","9","world","10","cure","1920x1080","1920x1030","24"
"57110a0040168","10","Hello","10","Cure","320x534","320x534","32"
"57110a7adf0e0","10","hello","9","friday","1920x1080","1920x1040","24"
"57110d2fab145","10","Hello","10","Cure","375x667","375x647","32"
"5711106ab212a","10","hello","9","friday","1920x1080","1920x1040","24"
"5711148c11035","10","Hello","9","Friday","360x640","360x640","32"
"5711149df2d2a","10","hello","10","cure","1366x768","1304x768","24"
"57111b0135816","7","tree","9","friday","360x640","360x640","32"
"57111b2c36e0c","6","dog","8","illusion ","720x1280","720x1280","32"
"57111f6c42412","10","hello","10","cure","1366x768","1366x768","24"
"5711231e370f2","10","hello","10","cure","1440x900","1440x848","24"
"571123dc69a60","10","hello","6","walk","1920x1080","1920x1040","24"
"571124ccba592","10","Hello","10","Cure","360x640","360x640","32"
"57112779b2f81","10","-","10","Cure ","360x640","360x640","32"
"571128aba60e2","10","hello","10","NONE","1366x768","1366x728","24"
"57112a657ac25","10","hello","9","friday","1366x768","1366x720","24"
"57112b9e10661","9","world","9","friday","1366x768","1366x728","24"
"57112cb820ea5","10","world","10","cure","1440x900","1440x823","24"
"57112ce735a14","9","world","10","cure","1920x1080","1920x1032","24"
"57112cec29456","10","hello","10","cure","1920x1080","1920x1053","24"
"57112d320ff16","10","hello","10","cure","1920x1080","1855x1056","24"
"57112d4c0a1bc","10","hello","9","cure","1366x768","1366x742","24"
"57112d73dfafe","10","hello","10","cure","1920x1080","1920x1040","24"
