"id","typeOfQuestion","first_color","second_color","third_color","clicks","page_time","rating","resets","id_question"
"5710cbc5f0ea4","twoColorsObj","#FF0000","#00FF00","#7d93a6",314,25,2,0,18
"5710cbc5f0ea4","twoColorsObj","#00FFFF","#FFFF00","#46ff9c",147,7,5,0,32
"5710cbc5f0ea4","objTwoColors","#80FF00","60","190.10869565217394",239,17,5,0,12
"5710cbc5f0ea4","objTwoColors","#FF007F","326.0869565217391","330.6521739130435",984,91,5,1,16
"5710cbc5f0ea4","objTwoColors","#FF00FF","9.130434782608695","182.28260869565216",170,24,5,0,2
"5710cbc5f0ea4","objTwoColors","#FF8000","57.391304347826086","7.173913043478261",796,77,4,0,11
"5710cbc5f0ea4","twoColorsObj","#00FF00","#FFFF00","#aeff00",240,14,5,0,28
"5710cbc5f0ea4","objTwoColors","#0080FF","243.91304347826087","NONE",476,19,4,0,13
"5710cbc5f0ea4","objTwoColors","#00FF00","57.391304347826086","184.23913043478262",115,12,4,0,17
"5710cbc5f0ea4","twoColorsObj","#FF0000","#FF00FF","#FF0050",569,58,3,0,22
"5710cbc5f0ea4","objTwoColors","#FFFF00","57.391304347826086","58.04347826086956",406,12,5,0,1
"5710cbc5f0ea4","objTwoColors","#0080FF","216.52173913043475","180.32608695652175",469,19,4,0,10
"5710cbc5f0ea4","twoColorsObj","#00FF00","#00FFFF","#8080FF",240,24,2,0,26
"5710cbc5f0ea4","objTwoColors","#8000FF","6.521739130434782","225.32608695652175",216,13,4,0,14
"5710cbc5f0ea4","twoColorsObj","#00FF00","#FF00FF","NONE",0,19,5,0,27
"5710cbc5f0ea4","twoColorsObj","#FF00FF","#FFFF00","#FF8080",1712,82,5,0,25
"5710cbc5f0ea4","objTwoColors","#00FF80","69.78260869565217","205.76086956521738",261,9,5,0,9
"5710cbc5f0ea4","objTwoColors","#00FF80","1.3043478260869565","121.63043478260869",461,20,5,0,15
"5710cbc5f0ea4","objTwoColors","#7f00ff","210.65217391304347","15",256,13,5,0,4
"5710cbc5f0ea4","twoColorsObj","#0000FF","#FF00FF","#7f00ff",146,10,5,0,30
"5710cbc5f0ea4","twoColorsObj","#0000FF","#FFFF00","#00FF00",342,19,5,0,31
"5710cbc5f0ea4","twoColorsObj","#FF0000","#00FFFF","#8080FF",217,15,5,0,21
"5710cbc5f0ea4","twoColorsObj","#FF0000","#FFFF00","#ffa100",450,9,5,0,23
"5710cbc5f0ea4","objTwoColors","#80FF00","67.82608695652175","205.76086956521738",382,10,5,0,3
"5710cbc5f0ea4","twoColorsObj","#00FF00","#0000FF","#008080",1061,84,2,0,20
"5710cbc5f0ea4","objTwoColors","#FF8000","7.826086956521739","55.43478260869565",108,10,5,0,6
"5710cbc5f0ea4","objTwoColors","#FF0080","195","7.173913043478261",303,17,5,0,5
"5710cbc5f0ea4","twoColorsObj","#00FFFF","#FF00FF","#7f00ff",363,26,5,0,24
"5710cbc5f0ea4","objTwoColors","#FF0000","6.521739130434782","9.782608695652174",82,12,5,0,8
"5710cbc5f0ea4","objTwoColors","#0000FF","232.17391304347825","231.19565217391303",235,9,5,0,7
"5710cbc5f0ea4","twoColorsObj","#FF0000","#0000FF","#7f00ff",111,10,4,0,19
"5710cbc5f0ea4","twoColorsObj","#0000FF","#00FFFF","#00caff",87,21,4,0,29
"5710cbe10cade","objTwoColors","#FF007F","306.52173913043475","339.7826086956522",142,26,3,0,16
"5710cbe10cade","objTwoColors","#FF0080","300","338.4782608695652",235,8,4,0,5
"5710cbe10cade","twoColorsObj","#FF0000","#00FF00","#B1FF00",226,596,3,0,18
"5710cbe10cade","objTwoColors","#FF8000","18.26086956521739","47.608695652173914",176,9,4,0,11
"5710cbe10cade","objTwoColors","#FF8000","35.21739130434783","22.826086956521742",91,6,5,0,6
"5710cbe10cade","objTwoColors","#0000FF","189.1304347826087","311.0869565217391",732,63,4,1,7
"5710cbe10cade","objTwoColors","#FF00FF","300","300",268,9,5,0,2
"5710cbe10cade","twoColorsObj","#FF0000","#FF00FF","#ab00ff",127,10,4,0,22
"5710cbe10cade","twoColorsObj","#FF0000","#FFFF00","#80FF00",451,9,5,0,23
"5710cbe10cade","objTwoColors","#80FF00","214.56521739130434","52.82608695652174",181,13,5,0,12
"5710cbe10cade","objTwoColors","#0080FF","226.30434782608697","209.67391304347825",133,8,4,0,10
"5710cbe10cade","twoColorsObj","#00FF00","#FF00FF","#aeff00",346,22,2,0,27
