"id","typeOfQuestion","first_color","second_color","third_color","clicks","page_time","rating","resets","id_question"
"5740b0f8e9734","objTwoColors","#CEFF00","hsl(71.73913043478261,1,0.50)","NONE",358,51,5,0,1
"573edae85268b","objTwoColors","#CEFF00","hsl(58.04347826086956,1,0.50)","hsl(97.17391304347825,1,0.50)",245,18,5,0,1
"5711231e370f2","objTwoColors","#FFFF00","NONE","hsl(58.04347826086956,1,0.50)",390,41,3,0,1
"5740b686127bb","objTwoColors","#CEFF00","hsl(50.869565217391305,1,0.50)","hsl(64.8913043478261,1,0.50)",829,101,2,0,1
"5757fd2703090","objTwoColors","#FFFF00","hsl(58.04347826086956,1,0.50)","NONE",21,4,5,0,1
"5740bda9be3dc","objTwoColors","#CEFF00","hsl(73.69565217391305,1,0.50)","hsl(88.36956521739131,1,0.50)",325,30,5,0,1
"574859b8f3379","objTwoColors","#CEFF00","hsl(1.3043478260869565,1,0.50)","hsl(123.58695652173913,1,0.50)",245,26,4,0,1
"573c70dabcfe0","objTwoColors","#CEFF00","hsl(69.78260869565217,1,0.50)","NONE",710,60,2,0,1
"573a059da0efd","objTwoColors","#CEFF00","hsl(198.91304347826087,1,0.50)","hsl(48.91304347826087,1,0.50)",84,13,5,0,1
"5756ab1701ba0","objTwoColors","#CEFF00","hsl(188.1521739130435,1,0.50)","hsl(140.2173913043478,1,0.50)",190,13,5,0,1
"573e47c26cb8e","objTwoColors","#CEFF00","hsl(51.52173913043478,1,0.50)","hsl(155.8695652173913,1,0.50)",108,26,2,0,1
"573ec4275ba17","objTwoColors","#CEFF00","hsl(55.43478260869565,1,0.50)","hsl(81.52173913043478,1,0.50)",223,16,3,0,1
"5756ae6897296","objTwoColors","#CEFF00","hsl(0.6521739130434783,1,0.50)","hsl(24.782608695652176,1,0.50)",25,8,5,0,1
"572767049ccfa","objTwoColors","#CEFF00","hsl(179.3478260869565,1,0.50)","hsl(58.04347826086956,1,0.50)",124,20,3,0,1
"573c783748e8b","objTwoColors","#CEFF00","hsl(54.78260869565217,1,0.50)","hsl(56.73913043478261,1,0.50)",77,18,3,0,1
"5757ffca0b4b1","objTwoColors","#FFFF00","hsl(56.73913043478261,1,0.50)","NONE",28,19,5,0,1
"573e4022949b1","objTwoColors","#CEFF00","hsl(70.76086956521739,1,0.50)","NONE",130,9,5,0,1
"5756b2d9bd658","objTwoColors","#CEFF00","hsl(59.347826086956516,1,0.50)","hsl(95.21739130434783,1,0.50)",228,28,5,0,1
"5740a8b59d448","objTwoColors","#CEFF00","hsl(151.95652173913044,1,0.50)","hsl(56.73913043478261,1,0.50)",912,72,2,0,1
"5739ff85289b2","objTwoColors","#CEFF00","hsl(49.56521739130435,1,0.50)","hsl(195.97826086956522,1,0.50)",6,17,2,0,1
