"id","typeOfQuestion","first_color","second_color","third_color","clicks","page_time","rating","resets","id_question"
"5713b10383207","objTwoColors","#FFFF00","hsl(224.34782608695653,1,0.50)","hsl(105.97826086956522,1,0.50)",307,26,4,0,1
"572baa7f9493c","objTwoColors","#FFFF00","hsl(63.91304347826087,1,0.50)","NONE",395,36,3,0,1
"57122f7e5768f","objTwoColors","#FFFF00","hsl(60,1,0.50)","NONE",952,61,5,0,1
"571153ca15566","objTwoColors","#FFFF00","hsl(51.09375,1,0.50)","NONE",1184,130,1,0,1
"5745500f6e643","objTwoColors","#FFFF00","hsl(48.26086956521739,1,0.50)","NONE",263,17,3,0,1
"57113e6176346","objTwoColors","#FFFF00","NONE","hsl(56.73913043478261,1,0.50)",439,32,1,0,1
"5711ace2ee7ed","objTwoColors","#FFFF00","hsl(54.78260869565217,1,0.50)","hsl(56.73913043478261,1,0.50)",71,15,5,0,1
"57190633f233f","objTwoColors","#FFFF00","hsl(7.826086956521739,1,0.50)","hsl(221.41304347826087,1,0.50)",276,44,3,0,1
"571137cd27765","objTwoColors","#FFFF00","hsl(245.21739130434784,1,0.50)","hsl(115.76086956521738,1,0.50)",567,32,4,0,1
"5710cbc5f0ea4","objTwoColors","#FFFF00","hsl(57.391304347826086,1,0.50)","hsl(58.04347826086956,1,0.50)",406,12,5,0,1
"5745c1c07cc0c","objTwoColors","#FFFF00","hsl(56.08695652173913,1,0.50)","hsl(59.347826086956516,1,0.50)",106,17,5,0,1
"5710ee55dcd72","objTwoColors","#FFFF00","hsl(136.30434782608697,1,0.50)","hsl(5.869565217391305,1,0.50)",214,36,5,0,1
"57112a657ac25","objTwoColors","#FFFF00","hsl(55.532584812330164,1,0.50)","NONE",233,17,3,0,1
"5734918f46823","objTwoColors","#FFFF00","hsl(0.6521739130434783,1,0.50)","NONE",41,12,3,0,1
"57121e2a63601","objTwoColors","#FFFF00","hsl(53.47826086956522,1,0.50)","hsl(55.43478260869565,1,0.50)",278,24,5,0,1
"574297edae49c","objTwoColors","#FFFF00","hsl(1.9565217391304348,1,0.50)","hsl(128.47826086956522,1,0.50)",454,28,1,0,1
"571137a34931a","objTwoColors","#FFFF00","hsl(50.441576086956516,1,0.50)","NONE",73,8,2,0,1
"5712197fbccd5","objTwoColors","#FFFF00","hsl(2.608695652173913,1,0.50)","hsl(60.97826086956521,1,0.50)",440,42,1,0,1
"57113a5534205","objTwoColors","#FFFF00","hsl(50.869565217391305,1,0.50)","hsl(59.347826086956516,1,0.50)",104,15,5,0,1
"57121540dbb98","objTwoColors","#FFFF00","hsl(56.08695652173913,1,0.50)","hsl(56.73913043478261,1,0.50)",1068,62,5,0,1
"5745350dc1e22","objTwoColors","#FFFF00","hsl(57.391304347826086,1,0.50)","hsl(56.08695652173913,1,0.50)",316,23,5,0,1
"5713ad43312ab","objTwoColors","#FFFF00","hsl(356.73913043478257,1,0.50)","NONE",437,30,3,0,1
"571214121717c","objTwoColors","#FFFF00","hsl(50.441576086956516,1,0.50)","NONE",59,24,1,0,1
